제품코드,특정연령,특정연령단위,연령처리조건,상세정보
643703571,2,세 (3),미만 (1),"안전성 및 유효성 미확립. 시판 후 조사에서 이 약을 투여 받은 영아에서 무호흡, 서맥, 혼수, 저혈압, 저체온, 근육긴장저하, 기면, 창백, 호흡억제, 졸음이 보고됨"
645304221,2,세 (3),미만 (1),"안전성 및 유효성 미확립. 시판 후 조사에서 이 약을 투여 받은 영아에서 무호흡, 서맥, 혼수, 저혈압, 저체온, 근육긴장저하, 기면, 창백, 호흡억제, 졸음이 보고됨"
643308621,2,세 (3),미만 (1),"안전성 및 유효성 미확립. 시판 후 조사에서 이 약을 투여 받은 영아에서 무호흡, 서맥, 혼수, 저혈압, 저체온, 근육긴장저하, 기면, 창백, 호흡억제, 졸음이 보고됨"
645305951,2,세 (3),미만 (1),"안전성 및 유효성 미확립. 시판 후 조사에서 이 약을 투여 받은 영아에서 무호흡, 서맥, 혼수, 저혈압, 저체온, 근육긴장저하, 기면, 창백, 호흡억제, 졸음이 보고됨"
643703572,2,세 (3),미만 (1),"안전성 및 유효성 미확립. 시판 후 조사에서 이 약을 투여 받은 영아에서 무호흡, 서맥, 혼수, 저혈압, 저체온, 근육긴장저하, 기면, 창백, 호흡억제, 졸음이 보고됨"
649801911,18,세 (3),이하 (2),안전성 및 유효성 미확립
649801921,18,세 (3),이하 (2),안전성 및 유효성 미확립
642000260,24,개월 (2),미만 (1),Mucolytics는 2세 미만에서 호흡기 장애 유발 가능
642000250,24,개월 (2),미만 (1),Mucolytics는 2세 미만에서 호흡기 장애 유발 가능
642200500,24,개월 (2),미만 (1),Mucolytics는 2세 미만에서 호흡기 장애 유발 가능
642000212,24,개월 (2),미만 (1),Mucolytics는 2세 미만에서 호흡기 장애 유발 가능
655400386,24,개월 (2),미만 (1),Mucolytics는 2세 미만에서 호흡기 장애 유발 가능
670101532,24,개월 (2),미만 (1),Mucolytics는 2세 미만에서 호흡기 장애 유발 가능
642000211,24,개월 (2),미만 (1),Mucolytics는 2세 미만에서 호흡기 장애 유발 가능
642201225,24,개월 (2),미만 (1),Mucolytics는 2세 미만에서 호흡기 장애 유발 가능
642000222,24,개월 (2),미만 (1),Mucolytics는 2세 미만에서 호흡기 장애 유발 가능
670101542,24,개월 (2),미만 (1),Mucolytics는 2세 미만에서 호흡기 장애 유발 가능
642000221,24,개월 (2),미만 (1),Mucolytics는 2세 미만에서 호흡기 장애 유발 가능
642200511,24,개월 (2),미만 (1),Mucolytics는 2세 미만에서 호흡기 장애 유발 가능
643903770,12,세 (3),이하 (2),
649103880,12,세 (3),이하 (2),
655604840,12,세 (3),이하 (2),
679600630,12,세 (3),이하 (2),
649104110,12,세 (3),이하 (2),
649400380,12,세 (3),이하 (2),
653000610,12,세 (3),이하 (2),
642200220,12,세 (3),이하 (2),
642200210,12,세 (3),이하 (2),
52401810,6,세 (3),미만 (1),안전성 및 유효성 미확립
52700530,6,세 (3),미만 (1),안전성 및 유효성 미확립
641701110,6,세 (3),미만 (1),안전성 및 유효성 미확립
642800960,6,세 (3),미만 (1),안전성 및 유효성 미확립
642900710,6,세 (3),미만 (1),안전성 및 유효성 미확립
643503080,6,세 (3),미만 (1),안전성 및 유효성 미확립
644602130,6,세 (3),미만 (1),안전성 및 유효성 미확립
644806190,6,세 (3),미만 (1),안전성 및 유효성 미확립
645202100,6,세 (3),미만 (1),안전성 및 유효성 미확립
645601400,6,세 (3),미만 (1),안전성 및 유효성 미확립
645900860,6,세 (3),미만 (1),안전성 및 유효성 미확립
646001670,6,세 (3),미만 (1),안전성 및 유효성 미확립
647801180,6,세 (3),미만 (1),안전성 및 유효성 미확립
648600900,6,세 (3),미만 (1),안전성 및 유효성 미확립
649100430,6,세 (3),미만 (1),안전성 및 유효성 미확립
649700750,6,세 (3),미만 (1),안전성 및 유효성 미확립
651501940,6,세 (3),미만 (1),안전성 및 유효성 미확립
653700670,6,세 (3),미만 (1),안전성 및 유효성 미확립
653801190,6,세 (3),미만 (1),안전성 및 유효성 미확립
654100110,6,세 (3),미만 (1),안전성 및 유효성 미확립
654301890,6,세 (3),미만 (1),안전성 및 유효성 미확립
656001520,6,세 (3),미만 (1),안전성 및 유효성 미확립
656202690,6,세 (3),미만 (1),안전성 및 유효성 미확립
658501140,6,세 (3),미만 (1),안전성 및 유효성 미확립
658600680,6,세 (3),미만 (1),안전성 및 유효성 미확립
661900620,6,세 (3),미만 (1),안전성 및 유효성 미확립
664100410,6,세 (3),미만 (1),안전성 및 유효성 미확립
669603620,6,세 (3),미만 (1),안전성 및 유효성 미확립
671801520,6,세 (3),미만 (1),안전성 및 유효성 미확립
678601040,6,세 (3),미만 (1),안전성 및 유효성 미확립
651900760,1,세 (3),미만 (1),추체외로증상 특히 운동장애가 나타나기 쉬움
657200020,1,세 (3),미만 (1),추체외로증상 특히 운동장애가 나타나기 쉬움
651900770,1,세 (3),미만 (1),추체외로증상 특히 운동장애가 나타나기 쉬움
651900780,1,세 (3),미만 (1),추체외로증상 특히 운동장애가 나타나기 쉬움
53300890,18,세 (3),미만 (1),"안전성 및 유효성 미확립. 퀴놀론계 항균제는 몇몇 어린 동물종에서 특히 체중부하부위의 관절병증, 뼈연골증을 유발함"
55100970,18,세 (3),미만 (1),"안전성 및 유효성 미확립. 퀴놀론계 항균제는 몇몇 어린 동물종에서 특히 체중부하부위의 관절병증, 뼈연골증을 유발함"
57000410,18,세 (3),미만 (1),"안전성 및 유효성 미확립. 퀴놀론계 항균제는 몇몇 어린 동물종에서 특히 체중부하부위의 관절병증, 뼈연골증을 유발함"
59000710,18,세 (3),미만 (1),"안전성 및 유효성 미확립. 퀴놀론계 항균제는 몇몇 어린 동물종에서 특히 체중부하부위의 관절병증, 뼈연골증을 유발함"
60500050,18,세 (3),미만 (1),"안전성 및 유효성 미확립. 퀴놀론계 항균제는 몇몇 어린 동물종에서 특히 체중부하부위의 관절병증, 뼈연골증을 유발함"
622804140,18,세 (3),미만 (1),"안전성 및 유효성 미확립. 퀴놀론계 항균제는 몇몇 어린 동물종에서 특히 체중부하부위의 관절병증, 뼈연골증을 유발함"
628900970,18,세 (3),미만 (1),"안전성 및 유효성 미확립. 퀴놀론계 항균제는 몇몇 어린 동물종에서 특히 체중부하부위의 관절병증, 뼈연골증을 유발함"
629700820,18,세 (3),미만 (1),"안전성 및 유효성 미확립. 퀴놀론계 항균제는 몇몇 어린 동물종에서 특히 체중부하부위의 관절병증, 뼈연골증을 유발함"
640000660,18,세 (3),미만 (1),"안전성 및 유효성 미확립. 퀴놀론계 항균제는 몇몇 어린 동물종에서 특히 체중부하부위의 관절병증, 뼈연골증을 유발함"
640903210,18,세 (3),미만 (1),"안전성 및 유효성 미확립. 퀴놀론계 항균제는 몇몇 어린 동물종에서 특히 체중부하부위의 관절병증, 뼈연골증을 유발함"
641106100,18,세 (3),미만 (1),"안전성 및 유효성 미확립. 퀴놀론계 항균제는 몇몇 어린 동물종에서 특히 체중부하부위의 관절병증, 뼈연골증을 유발함"
641601750,18,세 (3),미만 (1),"안전성 및 유효성 미확립. 퀴놀론계 항균제는 몇몇 어린 동물종에서 특히 체중부하부위의 관절병증, 뼈연골증을 유발함"
642301630,18,세 (3),미만 (1),"안전성 및 유효성 미확립. 퀴놀론계 항균제는 몇몇 어린 동물종에서 특히 체중부하부위의 관절병증, 뼈연골증을 유발함"
642702110,18,세 (3),미만 (1),"안전성 및 유효성 미확립. 퀴놀론계 항균제는 몇몇 어린 동물종에서 특히 체중부하부위의 관절병증, 뼈연골증을 유발함"
642900900,18,세 (3),미만 (1),"안전성 및 유효성 미확립. 퀴놀론계 항균제는 몇몇 어린 동물종에서 특히 체중부하부위의 관절병증, 뼈연골증을 유발함"
643100260,18,세 (3),미만 (1),"안전성 및 유효성 미확립. 퀴놀론계 항균제는 몇몇 어린 동물종에서 특히 체중부하부위의 관절병증, 뼈연골증을 유발함"
643200590,18,세 (3),미만 (1),"안전성 및 유효성 미확립. 퀴놀론계 항균제는 몇몇 어린 동물종에서 특히 체중부하부위의 관절병증, 뼈연골증을 유발함"
643702190,18,세 (3),미만 (1),"안전성 및 유효성 미확립. 퀴놀론계 항균제는 몇몇 어린 동물종에서 특히 체중부하부위의 관절병증, 뼈연골증을 유발함"
644301980,18,세 (3),미만 (1),"안전성 및 유효성 미확립. 퀴놀론계 항균제는 몇몇 어린 동물종에서 특히 체중부하부위의 관절병증, 뼈연골증을 유발함"
644700940,18,세 (3),미만 (1),"안전성 및 유효성 미확립. 퀴놀론계 항균제는 몇몇 어린 동물종에서 특히 체중부하부위의 관절병증, 뼈연골증을 유발함"
644802330,18,세 (3),미만 (1),"안전성 및 유효성 미확립. 퀴놀론계 항균제는 몇몇 어린 동물종에서 특히 체중부하부위의 관절병증, 뼈연골증을 유발함"
645209690,18,세 (3),미만 (1),"안전성 및 유효성 미확립. 퀴놀론계 항균제는 몇몇 어린 동물종에서 특히 체중부하부위의 관절병증, 뼈연골증을 유발함"
645602070,18,세 (3),미만 (1),"안전성 및 유효성 미확립. 퀴놀론계 항균제는 몇몇 어린 동물종에서 특히 체중부하부위의 관절병증, 뼈연골증을 유발함"
646201140,18,세 (3),미만 (1),"안전성 및 유효성 미확립. 퀴놀론계 항균제는 몇몇 어린 동물종에서 특히 체중부하부위의 관절병증, 뼈연골증을 유발함"
647200950,18,세 (3),미만 (1),"안전성 및 유효성 미확립. 퀴놀론계 항균제는 몇몇 어린 동물종에서 특히 체중부하부위의 관절병증, 뼈연골증을 유발함"
647803930,18,세 (3),미만 (1),"안전성 및 유효성 미확립. 퀴놀론계 항균제는 몇몇 어린 동물종에서 특히 체중부하부위의 관절병증, 뼈연골증을 유발함"
648503260,18,세 (3),미만 (1),"안전성 및 유효성 미확립. 퀴놀론계 항균제는 몇몇 어린 동물종에서 특히 체중부하부위의 관절병증, 뼈연골증을 유발함"
648601820,18,세 (3),미만 (1),"안전성 및 유효성 미확립. 퀴놀론계 항균제는 몇몇 어린 동물종에서 특히 체중부하부위의 관절병증, 뼈연골증을 유발함"
649102400,18,세 (3),미만 (1),"안전성 및 유효성 미확립. 퀴놀론계 항균제는 몇몇 어린 동물종에서 특히 체중부하부위의 관절병증, 뼈연골증을 유발함"
649503750,18,세 (3),미만 (1),"안전성 및 유효성 미확립. 퀴놀론계 항균제는 몇몇 어린 동물종에서 특히 체중부하부위의 관절병증, 뼈연골증을 유발함"
650300880,18,세 (3),미만 (1),"안전성 및 유효성 미확립. 퀴놀론계 항균제는 몇몇 어린 동물종에서 특히 체중부하부위의 관절병증, 뼈연골증을 유발함"
651201180,18,세 (3),미만 (1),"안전성 및 유효성 미확립. 퀴놀론계 항균제는 몇몇 어린 동물종에서 특히 체중부하부위의 관절병증, 뼈연골증을 유발함"
651500850,18,세 (3),미만 (1),"안전성 및 유효성 미확립. 퀴놀론계 항균제는 몇몇 어린 동물종에서 특히 체중부하부위의 관절병증, 뼈연골증을 유발함"
652601290,18,세 (3),미만 (1),"안전성 및 유효성 미확립. 퀴놀론계 항균제는 몇몇 어린 동물종에서 특히 체중부하부위의 관절병증, 뼈연골증을 유발함"
653003190,18,세 (3),미만 (1),"안전성 및 유효성 미확립. 퀴놀론계 항균제는 몇몇 어린 동물종에서 특히 체중부하부위의 관절병증, 뼈연골증을 유발함"
653405430,18,세 (3),미만 (1),"안전성 및 유효성 미확립. 퀴놀론계 항균제는 몇몇 어린 동물종에서 특히 체중부하부위의 관절병증, 뼈연골증을 유발함"
653801430,18,세 (3),미만 (1),"안전성 및 유효성 미확립. 퀴놀론계 항균제는 몇몇 어린 동물종에서 특히 체중부하부위의 관절병증, 뼈연골증을 유발함"
654300960,18,세 (3),미만 (1),"안전성 및 유효성 미확립. 퀴놀론계 항균제는 몇몇 어린 동물종에서 특히 체중부하부위의 관절병증, 뼈연골증을 유발함"
654700380,18,세 (3),미만 (1),"안전성 및 유효성 미확립. 퀴놀론계 항균제는 몇몇 어린 동물종에서 특히 체중부하부위의 관절병증, 뼈연골증을 유발함"
656001060,18,세 (3),미만 (1),"안전성 및 유효성 미확립. 퀴놀론계 항균제는 몇몇 어린 동물종에서 특히 체중부하부위의 관절병증, 뼈연골증을 유발함"
656700970,18,세 (3),미만 (1),"안전성 및 유효성 미확립. 퀴놀론계 항균제는 몇몇 어린 동물종에서 특히 체중부하부위의 관절병증, 뼈연골증을 유발함"
657306750,18,세 (3),미만 (1),"안전성 및 유효성 미확립. 퀴놀론계 항균제는 몇몇 어린 동물종에서 특히 체중부하부위의 관절병증, 뼈연골증을 유발함"
657500460,18,세 (3),미만 (1),"안전성 및 유효성 미확립. 퀴놀론계 항균제는 몇몇 어린 동물종에서 특히 체중부하부위의 관절병증, 뼈연골증을 유발함"
657805000,18,세 (3),미만 (1),"안전성 및 유효성 미확립. 퀴놀론계 항균제는 몇몇 어린 동물종에서 특히 체중부하부위의 관절병증, 뼈연골증을 유발함"
658200640,18,세 (3),미만 (1),"안전성 및 유효성 미확립. 퀴놀론계 항균제는 몇몇 어린 동물종에서 특히 체중부하부위의 관절병증, 뼈연골증을 유발함"
658603020,18,세 (3),미만 (1),"안전성 및 유효성 미확립. 퀴놀론계 항균제는 몇몇 어린 동물종에서 특히 체중부하부위의 관절병증, 뼈연골증을 유발함"
661605130,18,세 (3),미만 (1),"안전성 및 유효성 미확립. 퀴놀론계 항균제는 몇몇 어린 동물종에서 특히 체중부하부위의 관절병증, 뼈연골증을 유발함"
661901880,18,세 (3),미만 (1),"안전성 및 유효성 미확립. 퀴놀론계 항균제는 몇몇 어린 동물종에서 특히 체중부하부위의 관절병증, 뼈연골증을 유발함"
662504120,18,세 (3),미만 (1),"안전성 및 유효성 미확립. 퀴놀론계 항균제는 몇몇 어린 동물종에서 특히 체중부하부위의 관절병증, 뼈연골증을 유발함"
663600410,18,세 (3),미만 (1),"안전성 및 유효성 미확립. 퀴놀론계 항균제는 몇몇 어린 동물종에서 특히 체중부하부위의 관절병증, 뼈연골증을 유발함"
665000470,18,세 (3),미만 (1),"안전성 및 유효성 미확립. 퀴놀론계 항균제는 몇몇 어린 동물종에서 특히 체중부하부위의 관절병증, 뼈연골증을 유발함"
669502320,18,세 (3),미만 (1),"안전성 및 유효성 미확립. 퀴놀론계 항균제는 몇몇 어린 동물종에서 특히 체중부하부위의 관절병증, 뼈연골증을 유발함"
669800690,18,세 (3),미만 (1),"안전성 및 유효성 미확립. 퀴놀론계 항균제는 몇몇 어린 동물종에서 특히 체중부하부위의 관절병증, 뼈연골증을 유발함"
669902830,18,세 (3),미만 (1),"안전성 및 유효성 미확립. 퀴놀론계 항균제는 몇몇 어린 동물종에서 특히 체중부하부위의 관절병증, 뼈연골증을 유발함"
670104220,18,세 (3),미만 (1),"안전성 및 유효성 미확립. 퀴놀론계 항균제는 몇몇 어린 동물종에서 특히 체중부하부위의 관절병증, 뼈연골증을 유발함"
670606950,18,세 (3),미만 (1),"안전성 및 유효성 미확립. 퀴놀론계 항균제는 몇몇 어린 동물종에서 특히 체중부하부위의 관절병증, 뼈연골증을 유발함"
671700650,18,세 (3),미만 (1),"안전성 및 유효성 미확립. 퀴놀론계 항균제는 몇몇 어린 동물종에서 특히 체중부하부위의 관절병증, 뼈연골증을 유발함"
673400140,18,세 (3),미만 (1),"안전성 및 유효성 미확립. 퀴놀론계 항균제는 몇몇 어린 동물종에서 특히 체중부하부위의 관절병증, 뼈연골증을 유발함"
678600890,18,세 (3),미만 (1),"안전성 및 유효성 미확립. 퀴놀론계 항균제는 몇몇 어린 동물종에서 특히 체중부하부위의 관절병증, 뼈연골증을 유발함"
679801410,18,세 (3),미만 (1),"안전성 및 유효성 미확립. 퀴놀론계 항균제는 몇몇 어린 동물종에서 특히 체중부하부위의 관절병증, 뼈연골증을 유발함"
680500560,18,세 (3),미만 (1),"안전성 및 유효성 미확립. 퀴놀론계 항균제는 몇몇 어린 동물종에서 특히 체중부하부위의 관절병증, 뼈연골증을 유발함"
689000520,18,세 (3),미만 (1),"안전성 및 유효성 미확립. 퀴놀론계 항균제는 몇몇 어린 동물종에서 특히 체중부하부위의 관절병증, 뼈연골증을 유발함"
693201640,18,세 (3),미만 (1),"안전성 및 유효성 미확립. 퀴놀론계 항균제는 몇몇 어린 동물종에서 특히 체중부하부위의 관절병증, 뼈연골증을 유발함"
693900960,18,세 (3),미만 (1),"안전성 및 유효성 미확립. 퀴놀론계 항균제는 몇몇 어린 동물종에서 특히 체중부하부위의 관절병증, 뼈연골증을 유발함"
694000300,18,세 (3),미만 (1),"안전성 및 유효성 미확립. 퀴놀론계 항균제는 몇몇 어린 동물종에서 특히 체중부하부위의 관절병증, 뼈연골증을 유발함"
694205700,18,세 (3),미만 (1),"안전성 및 유효성 미확립. 퀴놀론계 항균제는 몇몇 어린 동물종에서 특히 체중부하부위의 관절병증, 뼈연골증을 유발함"
696600300,18,세 (3),미만 (1),"안전성 및 유효성 미확립. 퀴놀론계 항균제는 몇몇 어린 동물종에서 특히 체중부하부위의 관절병증, 뼈연골증을 유발함"
642900910,18,세 (3),미만 (1),"안전성 및 유효성 미확립. 퀴놀론계 항균제는 몇몇 어린 동물종에서 특히 체중부하부위의 관절병증, 뼈연골증을 유발함"
644301990,18,세 (3),미만 (1),"안전성 및 유효성 미확립. 퀴놀론계 항균제는 몇몇 어린 동물종에서 특히 체중부하부위의 관절병증, 뼈연골증을 유발함"
656700980,18,세 (3),미만 (1),"안전성 및 유효성 미확립. 퀴놀론계 항균제는 몇몇 어린 동물종에서 특히 체중부하부위의 관절병증, 뼈연골증을 유발함"
674400920,18,세 (3),미만 (1),"안전성 및 유효성 미확립. 퀴놀론계 항균제는 몇몇 어린 동물종에서 특히 체중부하부위의 관절병증, 뼈연골증을 유발함"
694001020,18,세 (3),미만 (1),"안전성 및 유효성 미확립. 퀴놀론계 항균제는 몇몇 어린 동물종에서 특히 체중부하부위의 관절병증, 뼈연골증을 유발함"
640000691,18,세 (3),미만 (1),"안전성 및 유효성 미확립. 퀴놀론계 항균제는 몇몇 어린 동물종에서 특히 체중부하부위의 관절병증, 뼈연골증을 유발함"
645100701,18,세 (3),미만 (1),"안전성 및 유효성 미확립. 퀴놀론계 항균제는 몇몇 어린 동물종에서 특히 체중부하부위의 관절병증, 뼈연골증을 유발함"
678901294,18,세 (3),미만 (1),"안전성 및 유효성 미확립. 퀴놀론계 항균제는 몇몇 어린 동물종에서 특히 체중부하부위의 관절병증, 뼈연골증을 유발함"
55100571,18,세 (3),미만 (1),"안전성 및 유효성 미확립. 퀴놀론계 항균제는 몇몇 어린 동물종에서 특히 체중부하부위의 관절병증, 뼈연골증을 유발함"
629700041,18,세 (3),미만 (1),"안전성 및 유효성 미확립. 퀴놀론계 항균제는 몇몇 어린 동물종에서 특히 체중부하부위의 관절병증, 뼈연골증을 유발함"
640000671,18,세 (3),미만 (1),"안전성 및 유효성 미확립. 퀴놀론계 항균제는 몇몇 어린 동물종에서 특히 체중부하부위의 관절병증, 뼈연골증을 유발함"
641100141,18,세 (3),미만 (1),"안전성 및 유효성 미확립. 퀴놀론계 항균제는 몇몇 어린 동물종에서 특히 체중부하부위의 관절병증, 뼈연골증을 유발함"
