제품코드,일일최대투여량,일일최대투여기준량,용량주의_상세내용
643202380,"아세트아미노펜으로써 4,000mg",4000.0,"아세트아미노펜으로 일일최대용량(4,000mg)을 초과할 경우 간손상을 일으킬수 있음"
644306140,"아세트아미노펜 2,600mg/트라마돌염산염 300mg",300.0,
644306140,"아세트아미노펜으로써 4,000mg",4000.0,"아세트아미노펜으로 일일최대용량(4,000mg)을 초과할 경우 간손상을 일으킬수 있음"
647803860,"아세트아미노펜 2,600mg/트라마돌염산염 300mg",300.0,
647803860,"아세트아미노펜으로써 4,000mg",4000.0,"아세트아미노펜으로 일일최대용량(4,000mg)을 초과할 경우 간손상을 일으킬수 있음"
670300980,"아세트아미노펜 2,600mg/트라마돌염산염 300mg",300.0,
670300980,"아세트아미노펜으로써 4,000mg",4000.0,"아세트아미노펜으로 일일최대용량(4,000mg)을 초과할 경우 간손상을 일으킬수 있음"
652105100,"아세트아미노펜 2,600mg/트라마돌염산염 300mg",300.0,
652105100,"아세트아미노펜으로써 4,000mg",4000.0,"아세트아미노펜으로 일일최대용량(4,000mg)을 초과할 경우 간손상을 일으킬수 있음"
645301170,"아세트아미노펜 2,600mg/트라마돌염산염 300mg",300.0,
645301170,"아세트아미노펜으로써 4,000mg",4000.0,"아세트아미노펜으로 일일최대용량(4,000mg)을 초과할 경우 간손상을 일으킬수 있음"
653101970,"아세트아미노펜 2,600mg/트라마돌염산염 300mg",300.0,
653101970,"아세트아미노펜으로써 4,000mg",4000.0,"아세트아미노펜으로 일일최대용량(4,000mg)을 초과할 경우 간손상을 일으킬수 있음"
674400710,"아세트아미노펜 2,600mg/트라마돌염산염 300mg",300.0,
674400710,"아세트아미노펜으로써 4,000mg",4000.0,"아세트아미노펜으로 일일최대용량(4,000mg)을 초과할 경우 간손상을 일으킬수 있음"
696600200,"아세트아미노펜 2,600mg/트라마돌염산염 300mg",300.0,
696600200,"아세트아미노펜으로써 4,000mg",4000.0,"아세트아미노펜으로 일일최대용량(4,000mg)을 초과할 경우 간손상을 일으킬수 있음"
645902810,"아세트아미노펜 2,600mg/트라마돌염산염 300mg",300.0,
645902810,"아세트아미노펜으로써 4,000mg",4000.0,"아세트아미노펜으로 일일최대용량(4,000mg)을 초과할 경우 간손상을 일으킬수 있음"
644003090,"아세트아미노펜 2,600mg/트라마돌염산염 300mg",300.0,
644003090,"아세트아미노펜으로써 4,000mg",4000.0,"아세트아미노펜으로 일일최대용량(4,000mg)을 초과할 경우 간손상을 일으킬수 있음"
662502870,"아세트아미노펜 2,600mg/트라마돌염산염 300mg",300.0,
662502870,"아세트아미노펜으로써 4,000mg",4000.0,"아세트아미노펜으로 일일최대용량(4,000mg)을 초과할 경우 간손상을 일으킬수 있음"
648503730,"아세트아미노펜 2,600mg/트라마돌염산염 300mg",300.0,
648503730,"아세트아미노펜으로써 4,000mg",4000.0,"아세트아미노펜으로 일일최대용량(4,000mg)을 초과할 경우 간손상을 일으킬수 있음"
657802010,"아세트아미노펜 2,600mg/트라마돌염산염 300mg",300.0,
657802010,"아세트아미노펜으로써 4,000mg",4000.0,"아세트아미노펜으로 일일최대용량(4,000mg)을 초과할 경우 간손상을 일으킬수 있음"
649504980,"아세트아미노펜 2,600mg/트라마돌염산염 300mg",300.0,
649504980,"아세트아미노펜으로써 4,000mg",4000.0,"아세트아미노펜으로 일일최대용량(4,000mg)을 초과할 경우 간손상을 일으킬수 있음"
643504230,"아세트아미노펜 2,600mg/트라마돌염산염 300mg",300.0,
643504230,"아세트아미노펜으로써 4,000mg",4000.0,"아세트아미노펜으로 일일최대용량(4,000mg)을 초과할 경우 간손상을 일으킬수 있음"
657203220,에스시탈로프람 20mg,20.0,
644703950,"레비티라세탐 3,000mg",3000.0,
655600080,"메트포르민염산염 2,000mg",2000.0,
655603450,"메트포르민염산염 2,000mg",2000.0,
651903893,"레비티라세탐 3,000mg",3000.0,
694003040,"덱시부프로펜 1,200mg",1200.0,
665500671,트라마돌염산염 400mg,400.0,
646902330,"아세트아미노펜 2,600mg/트라마돌염산염 300mg",300.0,
646902330,"아세트아미노펜으로써 4,000mg",4000.0,"아세트아미노펜으로 일일최대용량(4,000mg)을 초과할 경우 간손상을 일으킬수 있음"
653404600,리스페리돈 16mg,16.0,
653404610,리스페리돈 16mg,16.0,
653404580,리스페리돈 16mg,16.0,
653404590,리스페리돈 16mg,16.0,
645601330,피오글리타존 30mg,30.0,
693200550,피오글리타존 30mg,30.0,
643100820,피오글리타존 30mg,30.0,
664900660,피오글리타존 30mg,30.0,
651904960,메만틴염산염 20mg,20.0,
657307810,암로디핀 10mg/올메사르탄메독소밀 40mg/히드로클로로티아지드 25mg,40.0,
654005530,암로디핀 10mg/올메사르탄메독소밀 40mg/히드로클로로티아지드 25mg,40.0,
654305400,암로디핀 10mg/올메사르탄메독소밀 40mg/히드로클로로티아지드 25mg,40.0,
646005430,암로디핀 10mg/올메사르탄메독소밀 40mg/히드로클로로티아지드 25mg,40.0,
642802780,암로디핀 10mg/올메사르탄메독소밀 40mg,40.0,
693901800,암로디핀 10mg/올메사르탄메독소밀 40mg,40.0,
654005290,암로디핀 10mg/올메사르탄메독소밀 40mg,40.0,
669906690,암로디핀 10mg/올메사르탄메독소밀 40mg,40.0,
646003870,암로디핀 10mg/올메사르탄메독소밀 40mg,40.0,
642203640,암로디핀 10mg/올메사르탄메독소밀 40mg,40.0,
640902810,암로디핀 10mg/올메사르탄메독소밀 40mg,40.0,
653005510,암로디핀 10mg/올메사르탄메독소밀 40mg,40.0,
625200900,암로디핀 10mg/올메사르탄메독소밀 40mg,40.0,
641502390,암로디핀 10mg/올메사르탄메독소밀 40mg,40.0,
644004140,암로디핀 10mg/올메사르탄메독소밀 40mg,40.0,
693202150,암로디핀 10mg/올메사르탄메독소밀 40mg,40.0,
623006520,암로디핀 10mg/올메사르탄메독소밀 40mg,40.0,
660703340,암로디핀 10mg/올메사르탄메독소밀 40mg,40.0,
698504280,암로디핀 10mg/올메사르탄메독소밀 40mg,40.0,
670104790,암로디핀 10mg/올메사르탄메독소밀 40mg,40.0,
651205670,암로디핀 10mg/올메사르탄메독소밀 40mg,40.0,
73000030,암로디핀 10mg/올메사르탄메독소밀 40mg,40.0,
642802770,암로디핀 10mg/올메사르탄메독소밀 40mg,40.0,
693901780,암로디핀 10mg/올메사르탄메독소밀 40mg,40.0,
654005300,암로디핀 10mg/올메사르탄메독소밀 40mg,40.0,
669906680,암로디핀 10mg/올메사르탄메독소밀 40mg,40.0,
642203610,암로디핀 10mg/올메사르탄메독소밀 40mg,40.0,
640902830,암로디핀 10mg/올메사르탄메독소밀 40mg,40.0,
653005490,암로디핀 10mg/올메사르탄메독소밀 40mg,40.0,
625200910,암로디핀 10mg/올메사르탄메독소밀 40mg,40.0,
641502410,암로디핀 10mg/올메사르탄메독소밀 40mg,40.0,
693202160,암로디핀 10mg/올메사르탄메독소밀 40mg,40.0,
670104910,에제티미브 10mg/로수바스타틴 20mg,10.0,
53300340,프레가발린 600mg,600.0,
644004370,암로디핀 10mg/올메사르탄메독소밀 40mg,40.0,
623006310,암로디핀 10mg/올메사르탄메독소밀 40mg,40.0,
660703320,암로디핀 10mg/올메사르탄메독소밀 40mg,40.0,
676300040,글리클라지드 120mg,120.0,
652902340,발사르탄 320mg,320.0,
657201290,발사르탄 320mg,320.0,
645903690,발사르탄 320mg,320.0,
649805490,발사르탄 320mg,320.0,
645403800,발사르탄 320mg,320.0,
650203020,발사르탄 320mg,320.0,
643305120,발사르탄 320mg,320.0,
669501590,발사르탄 320mg,320.0,
671804270,발사르탄 320mg,320.0,
648506620,발사르탄 320mg,320.0,
644308210,발사르탄 320mg,320.0,
648102940,발사르탄 320mg,320.0,
647803700,발사르탄 320mg,320.0,
698504260,암로디핀 10mg/올메사르탄메독소밀 40mg,40.0,
658602540,발사르탄 320mg,320.0,
649507220,발사르탄 320mg,320.0,
642104090,발사르탄 320mg,320.0,
642904330,발사르탄 320mg,320.0,
643305150,발사르탄 320mg,320.0,
657308310,암로디핀 10mg/올메사르탄메독소밀 40mg,40.0,
73000050,암로디핀 10mg/올메사르탄메독소밀 40mg,40.0,
652105400,암로디핀 10mg/올메사르탄메독소밀 40mg,40.0,
642802790,암로디핀 10mg/올메사르탄메독소밀 40mg,40.0,
645404280,암로디핀 10mg/올메사르탄메독소밀 40mg,40.0,
680900030,암로디핀 10mg/올메사르탄메독소밀 40mg,40.0,
663606550,암로디핀 10mg/올메사르탄메독소밀 40mg,40.0,
645604460,암로디핀 10mg/올메사르탄메독소밀 40mg,40.0,
657805420,암로디핀 10mg/올메사르탄메독소밀 40mg,40.0,
644308840,암로디핀 10mg/올메사르탄메독소밀 40mg,40.0,
648103490,암로디핀 10mg/올메사르탄메독소밀 40mg,40.0,
670607110,암로디핀 10mg/올메사르탄메독소밀 40mg,40.0,
644913840,암로디핀 10mg/올메사르탄메독소밀 40mg,40.0,
658603360,암로디핀 10mg/올메사르탄메독소밀 40mg,40.0,
654304770,에스암로디핀 5mg,5.0,
641704580,에스암로디핀 5mg,5.0,
698502780,에스암로디핀 5mg,5.0,
671805300,에스암로디핀 5mg,5.0,
658603110,에스암로디핀 5mg,5.0,
644703330,로수바스타틴 20mg,20.0,
663604300,로수바스타틴 20mg,20.0,
646003490,로수바스타틴 20mg,20.0,
649505880,로수바스타틴 20mg,20.0,
643505410,로수바스타틴 20mg,20.0,
642104410,로수바스타틴 20mg,20.0,
641604600,로수바스타틴 20mg,20.0,
669501700,로수바스타틴 20mg,20.0,
669906020,로수바스타틴 20mg,20.0,
645905560,로수바스타틴 20mg,20.0,
652604170,로수바스타틴 20mg,20.0,
644307830,로수바스타틴 20mg,20.0,
693201040,로수바스타틴 20mg,20.0,
649604430,로수바스타틴 20mg,20.0,
643902810,로수바스타틴 20mg,20.0,
643103730,로수바스타틴 20mg,20.0,
650302670,로수바스타틴 20mg,20.0,
662503400,에스암로디핀 5mg,5.0,
628900710,에스암로디핀 5mg,5.0,
669501930,에스암로디핀 5mg,5.0,
644913920,피타바스타틴칼슘 4mg/발사르탄 320mg,4.0,
644913930,피타바스타틴칼슘 4mg/발사르탄 320mg,4.0,
644913940,피타바스타틴칼슘 4mg/발사르탄 320mg,4.0,
641606170,올메사르탄메독소밀 40mg/로수바스타틴 20mg,20.0,
641606160,올메사르탄메독소밀 40mg/로수바스타틴 20mg,40.0,
641606230,올메사르탄메독소밀 40mg/로수바스타틴 20mg,40.0,
670401410,에스암로디핀 5mg,5.0,
642307620,암로디핀 10mg/올메사르탄메독소밀 40mg/히드로클로로티아지드 25mg,40.0,
649605040,암로디핀 10mg/올메사르탄메독소밀 40mg/히드로클로로티아지드 25mg,40.0,
693902990,암로디핀 10mg/올메사르탄메독소밀 40mg/히드로클로로티아지드 25mg,40.0,
622803480,암로디핀 10mg/올메사르탄메독소밀 40mg/히드로클로로티아지드 25mg,40.0,
648604120,에제티미브 10mg/로수바스타틴 20mg,10.0,
641806910,에제티미브 10mg/로수바스타틴 20mg,10.0,
650304180,에제티미브 10mg/로수바스타틴 20mg,10.0,
657203620,에제티미브 10mg/로수바스타틴 20mg,10.0,
645907040,에제티미브 10mg/로수바스타틴 20mg,10.0,
694003170,에제티미브 10mg/로수바스타틴 20mg,10.0,
696300611,이카티반트 90mg,90.0,
698004590,암로디핀 10mg/올메사르탄메독소밀 40mg/히드로클로로티아지드 25mg,40.0,
698004600,암로디핀 10mg/올메사르탄메독소밀 40mg/히드로클로로티아지드 25mg,40.0,
698004610,암로디핀 10mg/올메사르탄메독소밀 40mg/히드로클로로티아지드 25mg,40.0,
654700150,로사르탄칼륨 100mg,100.0,
643301810,"침강탄산칼슘 960mg/글루콘산칼슘 960mg/젖산칼슘 1,087.2mg/건조에르고칼시페롤 0.472mg(해당 제형으로 4정)",960.0,
653701180,"침강탄산칼슘 960mg/글루콘산칼슘 960mg/젖산칼슘 1,087.2mg/건조에르고칼시페롤 0.472mg(해당 제형으로 4정)",960.0,
654700430,록소프로펜나트륨 180mg,180.0,
662501390,피오글리타존 30mg,30.0,
650201440,피오글리타존 30mg,30.0,
649800040,피오글리타존 30mg,30.0,
650300950,피오글리타존 30mg,30.0,
642101210,피오글리타존 30mg,30.0,
658601470,피오글리타존 30mg,30.0,
644000040,피오글리타존 30mg,30.0,
647800120,피오글리타존 30mg,30.0,
649505870,피오글리타존 30mg,30.0,
657803970,피오글리타존 30mg,30.0,
694000320,피오글리타존 30mg,30.0,
657303580,피오글리타존 30mg,30.0,
643303230,피오글리타존 30mg,30.0,
656004030,피오글리타존 30mg,30.0,
670602560,피오글리타존 30mg,30.0,
663602630,피오글리타존 30mg,30.0,
644801570,"이부프로펜 3,200mg",3200.0,
655404560,록소프로펜나트륨 180mg,180.0,
650205710,"아세트아미노펜으로 4,000mg",4000.0,"아세트아미노펜으로 일일최대용량(4,000mg)을 초과할 경우 간손상을 일으킬수 있음"
653404650,에스시탈로프람 20mg,20.0,
653404660,메만틴염산염 20mg,20.0,
625200430,암로디핀 10mg,10.0,
73001220,올메사르탄메독소밀 40mg,40.0,
73001240,올메사르탄메독소밀 40mg,40.0,
73001210,올메사르탄메독소밀 40mg,40.0,
693901040,로사르탄칼륨 100mg,100.0,
642902780,로사르탄칼륨 100mg,100.0,
649605850,에제티미브 10mg/로수바스타틴 20mg,10.0,
647805040,에제티미브 10mg/로수바스타틴 20mg,10.0,
665508140,에제티미브 10mg/로수바스타틴 20mg,10.0,
670304500,에제티미브 10mg/로수바스타틴 20mg,10.0,
649405530,에제티미브 10mg/로수바스타틴 20mg,10.0,
657308370,에제티미브 10mg/로수바스타틴 20mg,10.0,
644503170,에제티미브 10mg/로수바스타틴 20mg,10.0,
663608250,에제티미브 10mg/로수바스타틴 20mg,10.0,
648604100,에제티미브 10mg/로수바스타틴 20mg,10.0,
641806930,에제티미브 10mg/로수바스타틴 20mg,10.0,
650304200,에제티미브 10mg/로수바스타틴 20mg,10.0,
657203600,에제티미브 10mg/로수바스타틴 20mg,10.0,
645907020,에제티미브 10mg/로수바스타틴 20mg,10.0,
694003190,에제티미브 10mg/로수바스타틴 20mg,10.0,
649605870,에제티미브 10mg/로수바스타틴 20mg,10.0,
647805030,에제티미브 10mg/로수바스타틴 20mg,10.0,
665508150,에제티미브 10mg/로수바스타틴 20mg,10.0,
670304520,에제티미브 10mg/로수바스타틴 20mg,10.0,
649405510,에제티미브 10mg/로수바스타틴 20mg,10.0,
657308390,에제티미브 10mg/로수바스타틴 20mg,10.0,
644503160,에제티미브 10mg/로수바스타틴 20mg,10.0,
663608270,에제티미브 10mg/로수바스타틴 20mg,10.0,
648604110,에제티미브 10mg/로수바스타틴 20mg,10.0,
641806920,에제티미브 10mg/로수바스타틴 20mg,10.0,
650304190,에제티미브 10mg/로수바스타틴 20mg,10.0,
657203610,에제티미브 10mg/로수바스타틴 20mg,10.0,
645907030,에제티미브 10mg/로수바스타틴 20mg,10.0,
694003180,에제티미브 10mg/로수바스타틴 20mg,10.0,
647805020,에제티미브 10mg/로수바스타틴 20mg,10.0,
665508160,에제티미브 10mg/로수바스타틴 20mg,10.0,
670304510,에제티미브 10mg/로수바스타틴 20mg,10.0,
649405520,에제티미브 10mg/로수바스타틴 20mg,10.0,
657308380,에제티미브 10mg/로수바스타틴 20mg,10.0,
644503180,에제티미브 10mg/로수바스타틴 20mg,10.0,
663608260,에제티미브 10mg/로수바스타틴 20mg,10.0,
659901180,프레가발린 600mg,600.0,
651203560,올메사르탄메독소밀 40mg,40.0,
643307470,"로베글리타존황산염 0.5mg/메트포르민염산염 2,000mg",0.5,
643307460,"로베글리타존황산염 0.5mg/메트포르민염산염 2,000mg",0.5,
643307560,"로베글리타존황산염 0.5mg/메트포르민염산염 2,000mg",0.5,
649802851,케토롤락트로메타민염 90mg,90.0,
649805060,암로디핀 10mg,10.0,
53500020,"나프록센 1,250mg 또는 나프록센나트륨 1,350mg",1350.0,
669804851,트라마돌염산염 400mg,400.0,
670304530,로수바스타틴 20mg,20.0,
59600540,로페라미드염산염 16mg,16.0,
641704960,솔리페나신숙신산염 10mg,10.0,
642900010,피오글리타존 30mg,30.0,
650205720,"아세트아미노펜으로 4,000mg",4000.0,"아세트아미노펜으로 일일최대용량(4,000mg)을 초과할 경우 간손상을 일으킬수 있음"
649801470,코데인인산염수화물 240mg,240.0,
657202960,라코사미드 400mg,400.0,
649405001,트라마돌염산염 400mg,400.0,
644102590,솔리페나신숙신산염 10mg,10.0,
648507380,솔리페나신숙신산염 10mg,10.0,
657306630,솔리페나신숙신산염 10mg,10.0,
657306640,솔리페나신숙신산염 10mg,10.0,
648507370,솔리페나신숙신산염 10mg,10.0,
698500770,"아세트아미노펜 2,600mg/트라마돌염산염 300mg",300.0,
698500770,"아세트아미노펜으로써 4,000mg",4000.0,"아세트아미노펜으로 일일최대용량(4,000mg)을 초과할 경우 간손상을 일으킬수 있음"
646200650,로사르탄칼륨 100mg,100.0,
656700050,피오글리타존 30mg,30.0,
642900220,록소프로펜나트륨 180mg,180.0,
642900360,멜록시캄 15mg,15.0,
657307080,로수바스타틴 20mg,20.0,
625201731,트라마돌염산염 400mg,400.0,
649103420,로수바스타틴 20mg,20.0,
643308420,(비판막성 심방세동 환자에서 뇌졸중 및 전신색전증의위험 감소)리바록사반 20mg,20.0,
649801153,세프트리악손 4g(역가),4000.0,
645900661,세프트리악손 4g(역가),4000.0,
655403861,세프트리악손 4g(역가),4000.0,
663607020,프레가발린 600mg,600.0,
642204110,프레가발린 600mg,600.0,
656004710,칸데사르탄실렉세틸 32mg,32.0,
627600210,로수바스타틴 20mg,20.0,
627600220,로수바스타틴 20mg,20.0,
643300411,세프타지딤 9g(역가),9.0,
648503631,세프타지딤 9g(역가),9.0,
665501521,세프타지딤 9g(역가),9.0,
658602841,세프타지딤 9g(역가),9.0,
648202411,세프타지딤 9g(역가),9.0,
655403770,"아세트아미노펜으로 4,000mg",4000.0,"아세트아미노펜으로 일일최대용량(4,000mg)을 초과할 경우 간손상을 일으킬수 있음"
643903560,프레가발린 600mg,600.0,
643903570,프레가발린 600mg,600.0,
648103990,"메트포르민2,500mg/피오글리타존 30mg",30.0,
645104461,메토플로프라미드염산염수화물 30mg,30.0,
645305610,프레가발린 600mg,600.0,
643308460,(비판막성 심방세동 환자에서 뇌졸중 및 전신색전증의위험 감소)리바록사반 20mg,20.0,
641601060,프리미돈 2g,2000.0,
655500300,시타글립틴 100mg,100.0,
655500310,시타글립틴 100mg,100.0,
655500320,시타글립틴 100mg,100.0,
694001240,"메트포르민염산염 2,000mg",2000.0,
694001260,"메트포르민염산염 2,000mg",2000.0,
643900913,"이부프로펜 3,200mg",3200.0,
642902031,"이부프로펜 3,200mg",3200.0,
643900911,"이부프로펜 3,200mg",3200.0,
641600851,"이부프로펜 3,200mg",3200.0,
642902032,"이부프로펜 3,200mg",3200.0,
670500591,"이부프로펜 3,200mg",3200.0,
649601602,"이부프로펜 3,200mg",3200.0,
645702601,"아세트아미노펜으로 4,000mg",4000.0,"아세트아미노펜으로 일일최대용량(4,000mg)을 초과할 경우 간손상을 일으킬수 있음"
643900912,"이부프로펜 3,200mg",3200.0,
645701041,"이부프로펜 3,200mg",3200.0,
670302061,돔페리돈 30mg,30.0,
649701540,시메티딘 2.4g,2400.0,
651201480,이르베사르탄 300mg/히드로클로로티아지드 25mg,300.0,
643504390,이르베사르탄 300mg/히드로클로로티아지드 25mg,300.0,
651903460,이르베사르탄 300mg/히드로클로로티아지드 25mg,300.0,
651202620,이르베사르탄 300mg/히드로클로로티아지드 25mg,300.0,
652101270,이르베사르탄 300mg/히드로클로로티아지드 25mg,300.0,
660702671,세프트리악손 4g(역가),4000.0,
657805281,세프트리악손 4g(역가),4000.0,
648101071,세프트리악손 4g(역가),4000.0,
629700011,세프트리악손 4g(역가),4000.0,
669804431,세프트리악손 4g(역가),4000.0,
698503261,세프트리악손 4g(역가),4000.0,
663601730,카르베딜롤 100mg,100.0,
644303870,카르베딜롤 100mg,100.0,
694000020,카르베딜롤 100mg,100.0,
658601660,카르베딜롤 100mg,100.0,
660701620,카르베딜롤 100mg,100.0,
657801690,카르베딜롤 100mg,100.0,
643306090,카르베딜롤 100mg,100.0,
643306410,카르베딜롤 128mg,128.0,
643306400,카르베딜롤 128mg,128.0,
653103551,라모세트론염산염 0.6mg,0.6,
693902240,프레가발린 600mg,600.0,
671805100,피타바스타틴칼슘 4mg,4.0,
642903050,로사르탄칼륨 100mg/히드로클로로티아지드 25mg,100.0,
644300950,로사르탄칼륨 100mg/히드로클로로티아지드 25mg,100.0,
670606730,로사르탄칼륨 100mg/히드로클로로티아지드 25mg,100.0,
656003940,로수바스타틴 20mg,20.0,
652903560,로수바스타틴 20mg,20.0,
644003610,로수바스타틴 20mg,20.0,
645304770,로수바스타틴 20mg,20.0,
671804840,로수바스타틴 20mg,20.0,
645603800,로수바스타틴 20mg,20.0,
653804400,로수바스타틴 20mg,20.0,
649404870,로수바스타틴 20mg,20.0,
644704200,로수바스타틴 20mg,20.0,
643506750,로수바스타틴 20mg,20.0,
642104430,로수바스타틴 20mg,20.0,
641604580,로수바스타틴 20mg,20.0,
644308800,로수바스타틴 20mg,20.0,
669501690,로수바스타틴 20mg,20.0,
693201010,로수바스타틴 20mg,20.0,
642904990,로수바스타틴 20mg,20.0,
662501790,돔페리돈 30mg,30.0,
652600040,돔페리돈 30mg,30.0,
649100110,돔페리돈 30mg,30.0,
649401720,돔페리돈 30mg,30.0,
653700160,돔페리돈 30mg,30.0,
660700470,돔페리돈 30mg,30.0,
646001090,돔페리돈 30mg,30.0,
645702630,돔페리돈 30mg,30.0,
652105410,암로디핀 10mg/올메사르탄메독소밀 40mg,40.0,
663606540,암로디핀 10mg/올메사르탄메독소밀 40mg,40.0,
645604470,암로디핀 10mg/올메사르탄메독소밀 40mg,40.0,
645404300,암로디핀 10mg/올메사르탄메독소밀 40mg,40.0,
657805410,암로디핀 10mg/올메사르탄메독소밀 40mg,40.0,
691800010,탈리도마이드 400mg,400.0,
643700501,세프트리악손 4g(역가),4000.0,
643301200,로사르탄칼륨 100mg/히드로클로로티아지드 25mg,100.0,
644000980,로사르탄칼륨 100mg/히드로클로로티아지드 25mg,100.0,
644703770,로사르탄칼륨 100mg/히드로클로로티아지드 25mg,100.0,
649402220,로사르탄칼륨 100mg/히드로클로로티아지드 25mg,100.0,
657803190,로사르탄칼륨 100mg/히드로클로로티아지드 25mg,100.0,
660702500,"글리메피리드 8mg/메트포르민염산염 2,000mg",2000.0,
648506610,"글리메피리드 8mg/메트포르민염산염 2,000mg",2000.0,
652100840,"글리메피리드 8mg/메트포르민염산염 2,000mg",2000.0,
651503310,"글리메피리드 8mg/메트포르민염산염 2,000mg",2000.0,
642104110,"글리메피리드 8mg/메트포르민염산염 2,000mg",2000.0,
647803560,"글리메피리드 8mg/메트포르민염산염 2,000mg",2000.0,
644308240,"글리메피리드 8mg/메트포르민염산염 2,000mg",2000.0,
643902800,로수바스타틴 20mg,20.0,
643305640,로수바스타틴 20mg,20.0,
660702940,로수바스타틴 20mg,20.0,
653403160,로수바스타틴 20mg,20.0,
651204210,로수바스타틴 20mg,20.0,
657805460,로수바스타틴 20mg,20.0,
670606780,로수바스타틴 20mg,20.0,
642802810,로수바스타틴 20mg,20.0,
665001980,로수바스타틴 20mg,20.0,
650203400,로수바스타틴 20mg,20.0,
648602680,로수바스타틴 20mg,20.0,
659900170,"시트르산칼륨수화물 10,800mg",10800.0,
648103510,암로디핀 10mg/올메사르탄메독소밀 40mg,40.0,
670607120,암로디핀 10mg/올메사르탄메독소밀 40mg,40.0,
651904190,암로디핀 10mg/올메사르탄메독소밀 40mg,40.0,
644913830,암로디핀 10mg/올메사르탄메독소밀 40mg,40.0,
642507130,암로디핀 10mg/올메사르탄메독소밀 40mg,40.0,
642507120,암로디핀 10mg/올메사르탄메독소밀 40mg,40.0,
642507140,암로디핀 10mg/올메사르탄메독소밀 40mg,40.0,
52900060,탈리도마이드 400mg,400.0,
626100120,탈리도마이드 400mg,400.0,
642102000,피라진아미드 3g,3000.0,
642102010,피라진아미드 3g,3000.0,
669804080,"글리메피리드 8mg/메트포르민염산염 2,000mg",2000.0,
657305730,"글리메피리드 8mg/메트포르민염산염 2,000mg",2000.0,
642904270,"글리메피리드 8mg/메트포르민염산염 2,000mg",2000.0,
642705790,"글리메피리드 8mg/메트포르민염산염 2,000mg",2000.0,
643306130,"글리메피리드 8mg/메트포르민염산염 2,000mg",2000.0,
642203090,"글리메피리드 8mg/메트포르민염산염 2,000mg",2000.0,
651203620,"글리메피리드 8mg/메트포르민염산염 2,000mg",2000.0,
653701970,"글리메피리드 8mg/메트포르민염산염 2,000mg",2000.0,
645403590,"글리메피리드 8mg/메트포르민염산염 2,000mg",2000.0,
649805450,"글리메피리드 8mg/메트포르민염산염 2,000mg",2000.0,
654004020,"글리메피리드 8mg/메트포르민염산염 2,000mg",2000.0,
645100222,D-소르비톨 100g,100.0,
693902290,피타바스타틴칼슘 4mg,4.0,
670701800,피타바스타틴칼슘 4mg,4.0,
693902300,피타바스타틴칼슘 4mg,4.0,
668902650,로수바스타틴 20mg/발사르탄 320mg,320.0,
668902640,로수바스타틴 20mg/발사르탄 320mg,320.0,
668902670,로수바스타틴 20mg/발사르탄 320mg,320.0,
668902660,로수바스타틴 20mg/발사르탄 320mg,320.0,
668902880,로수바스타틴 20mg/발사르탄 320mg,320.0,
668902900,로수바스타틴 20mg/발사르탄 320mg,320.0,
642905930,에제티미브 10mg/로수바스타틴 20mg,10.0,
698502140,"글리메피리드 8mg/메트포르민염산염 2,000mg",2000.0,
