주성분코드,성분명,제형,id
101402ATR,acetaminophen encapsulated,서방형정제 ,64
101403ASS,acetaminophen(encapsulated),"현탁액제,현탁액용정제,현탁액용산제 ",65
101404ATB,acetaminophen(encapsulated),"정제,저작정 ",66
101404ATR,acetaminophen(encapsulated),서방형정제 ,67
101405ATR,acetaminophen(encapsulated),서방형정제 ,68
101406ATB,acetaminophen(encapsulated),"정제,저작정 ",69
101407ASS,acetaminophen encapsulated,"현탁액제,현탁액용정제,현탁액용산제 ",70
101408ATB,acetaminophen encapsulated(as acetaminophen),"정제,저작정 ",71
101430ATR,acetaminophen(encapsulated),서방형정제 ,72
101431ASS,acetaminophen(encapsulated),"현탁액제,현탁액용정제,현탁액용산제 ",73
101432ASS,acetaminophen(encapsulated),"현탁액제,현탁액용정제,현탁액용산제 ",74
101433ASS,acetaminophen(encapsulated),"현탁액제,현탁액용정제,현탁액용산제 ",75
101501ATB,acetazolamide,"정제,저작정 ",76
101502BIJ,acetazolamide sodium (as acetazolamide),주사제 ,77
101601APD,acetyl L-carnitine hydrochloride (as acetyl L-carnitine),산제 ,78
101601ATB,acetyl L-carnitine hydrochloride (as acetyl L-carnitine),"정제,저작정 ",79
101601ATE,acetyl L-carnitine hydrochloride (as acetyl L-carnitine),장용정제 ,80
101701COS,acetylcholine chloride,점안제,81
101801ACH,acetylcysteine,경질캡슐제 ,82
101801AGN,acetylcysteine,"과립제,세립 ",83
101802BIJ,acetylcysteine,주사제 ,84
101803AGN,acetylcysteine,"과립제,세립 ",85
101804ACH,acetylcysteine,경질캡슐제 ,86
101804AGN,acetylcysteine,"과립제,세립 ",87
101804ATB,acetylcysteine,"정제,저작정 ",88
101805ALQ,acetylcysteine,액제 ,89
101805CLQ,acetylcysteine,액제 ,90
101806AGN,acetylcysteine,"과립제,세립 ",91
101807ATB,acetylcysteine,"정제,저작정 ",92
101807BIJ,acetylcysteine,주사제 ,93
101808ASY,acetylcysteine,"시럽제,건조시럽 ",94
101809BIJ,acetylcysteine,주사제 ,95
101810BIJ,acetylcysteine,주사제 ,96
101830AGN,acetylcysteine,"과립제,세립 ",97
101831BIJ,acetylcysteine,주사제 ,98
101832BIJ,acetylcysteine,주사제 ,99
101833BIJ,acetylcysteine,주사제 ,100
101834CLQ,acetylcysteine,액제 ,101
101835BIJ,acetylcysteine,주사제 ,102
101836BIJ,acetylcysteine,주사제 ,103
101837ASY,acetylcysteine,"시럽제,건조시럽 ",104
101838ASY,acetylcysteine,"시럽제,건조시럽 ",105
101839ASY,acetylcysteine,"시럽제,건조시럽 ",106
101840ASY,acetylcysteine,"시럽제,건조시럽 ",107
101841ASY,acetylcysteine,"시럽제,건조시럽 ",108
101842AGN,acetylcysteine,"과립제,세립 ",109
101843AGN,acetylcysteine,"과립제,세립 ",110
101844AGN,acetylcysteine,"과립제,세립 ",111
101845CLQ,acetylcysteine,액제 ,112
101846CLQ,acetylcysteine,액제 ,113
101901ATB,acetylcysteine glycine thiamphenicol,"정제,저작정 ",114
102001ATB,acetylkitasamycin,"정제,저작정 ",115
102101ATB,acetylspiramycin,"정제,저작정 ",116
102102ATB,acetylspiramycin,"정제,저작정 ",117
102201ACH,acipimox,경질캡슐제 ,118
102301ACH,acitretin,경질캡슐제 ,119
102302ACH,acitretin,경질캡슐제 ,120
102401BIJ,aclarubicin HCl,주사제 ,121
102501ACH,aclatonium napadisilate,경질캡슐제 ,122
102501ATB,aclatonium napadisilate,"정제,저작정 ",123
102502ACH,aclatonium napadisilate,경질캡슐제 ,124
102502ATB,aclatonium napadisilate,"정제,저작정 ",125
102601ACH,acrivastine,경질캡슐제 ,126
102701ASS,activated charcoal,"현탁액제,현탁액용정제,현탁액용산제 ",127
102702ACH,activated charcoal,경질캡슐제 ,128
102703AGN,activated charcoal,"과립제,세립 ",129
102704APD,activated charcoal,산제 ,130
102705ATB,activated charcoal,"정제,저작정 ",131
102706BIJ,activated charcoal,주사제 ,132
102730ASS,activated charcoal,"현탁액제,현탁액용정제,현탁액용산제 ",133
102731APD,activated charcoal,산제 ,134
102732APD,activated charcoal,산제 ,135
102733AGN,activated charcoal,"과립제,세립 ",136
102734AGN,activated charcoal,"과립제,세립 ",137
102735BIJ,activated charcoal,주사제 ,138
102801BIJ,actovegin,주사제 ,139
102802BIJ,actovegin,주사제 ,140
102803CCM,actovegin,"크림제,겔제,젤리 ",141
102804BIJ,actovegin,주사제 ,142
102901ASS,acyclovir,"현탁액제,현탁액용정제,현탁액용산제 ",143
102901ASY,acyclovir,"시럽제,건조시럽 ",144
102902BIJ,acyclovir,주사제 ,145
102903COO,acyclovir,"안연고제,점안겔제 ",146
102904ACH,acyclovir,경질캡슐제 ,147
102904ATB,acyclovir,"정제,저작정 ",148
102905BIJ,acyclovir,주사제 ,149
102906CCM,acyclovir,"크림제,겔제,젤리 ",150
102906COM,acyclovir,연고제 ,151
102907ATB,acyclovir,"정제,저작정 ",152
102908ASS,acyclovir,"현탁액제,현탁액용정제,현탁액용산제 ",153
102909ATB,acyclovir,"정제,저작정 ",154
102910ASS,acyclovir,"현탁액제,현탁액용정제,현탁액용산제 ",155
102910ASY,acyclovir,"시럽제,건조시럽 ",156
102930CCM,acyclovir,"크림제,겔제,젤리 ",157
102931COO,acyclovir,"안연고제,점안겔제 ",158
102932COO,acyclovir,"안연고제,점안겔제 ",159
102933CCM,acyclovir,"크림제,겔제,젤리 ",160
102934BIJ,acyclovir,주사제 ,161
102935CCM,acyclovir,"크림제,겔제,젤리 ",162
102935COM,acyclovir,연고제 ,163
102936CCM,acyclovir,"크림제,겔제,젤리 ",164
102937CCM,acyclovir,"크림제,겔제,젤리 ",165
102937COM,acyclovir,연고제 ,166
102938ASY,acyclovir,"시럽제,건조시럽 ",167
102939COM,acyclovir,연고제 ,168
102940ASY,acyclovir,"시럽제,건조시럽 ",169
102941CCM,acyclovir,"크림제,겔제,젤리 ",170
102942ASY,acyclovir,"시럽제,건조시럽 ",171
102943CCM,acyclovir,"크림제,겔제,젤리 ",172
102944ASY,acyclovir,"시럽제,건조시럽 ",173
102945CCM,acyclovir,"크림제,겔제,젤리 ",174
102946ATC,acyclovir,구강정 ,175
103001BIJ,adenosine,주사제 ,176
103002BIJ,adenosine,주사제 ,177
103030BIJ,adenosine,주사제 ,178
103031BIJ,adenosine,주사제 ,179
103101ATE,adenosine triphosphate,장용정제 ,180
103201BIJ,adenosine triphosphate disodium,주사제 ,181
103202BIJ,adenosine triphosphate disodium,주사제 ,182
103301BIJ,s-adenosyl-l-methionine sulfate-p-toluene sulfonate (as s-adenosyl-l-methionine),주사제 ,183
103401CCM,alclometasone dipropionate,"크림제,겔제,젤리 ",184
103401CLT,alclometasone dipropionate,로션제 ,185
103402CCM,alclometasone dipropionate,"크림제,겔제,젤리 ",186
103402COM,alclometasone dipropionate,연고제 ,187
103430CCM,alclometasone dipropionate,"크림제,겔제,젤리 ",188
103431CCM,alclometasone dipropionate,"크림제,겔제,젤리 ",189
103431CLT,alclometasone dipropionate,로션제 ,190
103432CCM,alclometasone dipropionate,"크림제,겔제,젤리 ",191
103433CCM,alclometasone dipropionate,"크림제,겔제,젤리 ",192
103501ATB,adrenochrome monoaminoguanidine methanesulfonate,"정제,저작정 ",193
103502ATB,adrenochrome monoaminoguanidine methanesulfonate,"정제,저작정 ",194
103601BIJ,aesalus hippocastanum L. leaves ext.,주사제 ,195
103701ATB,aescin,"정제,저작정 ",196
103702BIJ,aescin,주사제 ,197
103801COM,aesculus hippocastanum L. ext.,연고제 ,198
103802COM,aesculus hippocastanum L. ext.,연고제 ,199
103901BIJ,aesculus hippocastanum L. leaves ext.,주사제 ,200
103902BIJ,aesculus hippocastanum L. leaves ext.,주사제 ,201
104001ATB,aesculus hippocastanum L. seeds ext.,"정제,저작정 ",202
104002ACH,aesculus hippocastanum L. seeds ext.,경질캡슐제 ,203
104002ATB,aesculus hippocastanum L. seeds ext.,"정제,저작정 ",204
104003ACS,aesculus hippocastanum L. seeds ext.,연질캡슐제 ,205
104003ATB,aesculus hippocastanum L. seeds ext.,"정제,저작정 ",206
104004ACH,aesculus hippocastanum L. seeds ext.,경질캡슐제 ,207
104004ATB,aesculus hippocastanum L. seeds ext.,"정제,저작정 ",208
104005ACR,aesculus hippocastanum L. seeds ext.,서방캡슐제 ,209
104006ACH,aesculus hippocastanum L. seeds ext. (as triterpene glycoside),경질캡슐제 ,210
104101ATB,afloqualone,"정제,저작정 ",211
104201ATB,alacepril,"정제,저작정 ",212
104202ATB,alacepril,"정제,저작정 ",213
104301ATB,albendazol,"정제,저작정 ",214
104302ASY,albendazol,"시럽제,건조시럽 ",215
104303ATB,albendazol,"정제,저작정 ",216
104401CSP,albotyl,좌제 ,217
104501BIJ,aldesleukin(rhIL-2),주사제 ,218
104601ACS,alfacalcidol,연질캡슐제 ,219
104601ATB,alfacalcidol,"정제,저작정 ",220
104602ACS,alfacalcidol,연질캡슐제 ,221
104603ACS,alfacalcidol,연질캡슐제 ,222
104701BIJ,alfentanil HCl,주사제 ,223
104702BIJ,alfentanil HCl,주사제 ,224
104703BIJ,alfentanil HCl,주사제 ,225
104704BIJ,alfentanil HCl,주사제 ,226
104730BIJ,alfentanil hydrochloride (as alfentanil),주사제 ,227
104731BIJ,alfentanil hydrochloride (as alfentanil),주사제 ,228
104732BIJ,alfentanil hydrochloride (as alfentanil),주사제 ,229
104801ATB,alfuzosin HCl,"정제,저작정 ",230
104802ATR,alfuzosin HCl,서방형정제 ,231
104803ATR,alfuzosin hydrochloride,서방형정제 ,232
104901AGN,alibendol,"과립제,세립 ",233
104901ATB,alibendol,"정제,저작정 ",234
104902AGN,alibendol,"과립제,세립 ",235
105001ATB,allopurinol,"정제,저작정 ",236
105002ATB,allopurinol,"정제,저작정 ",237
105003ATB,allopurinol,"정제,저작정 ",238
105101ATB,allylestrenol,"정제,저작정 ",239
105201ASS,almagate,"현탁액제,현탁액용정제,현탁액용산제 ",240
105202APD,almagate,산제 ,241
105202ASS,almagate,"현탁액제,현탁액용정제,현탁액용산제 ",242
105202ATB,almagate,"정제,저작정 ",243
105203ATB,almagate,"정제,저작정 ",244
105230ASS,almagate,"현탁액제,현탁액용정제,현탁액용산제 ",245
105301ATB,alminoprofen,"정제,저작정 ",246
105302ATB,alminoprofen,"정제,저작정 ",247
105401ATB,aloxiporin,"정제,저작정 ",248
105501ATB,alprazolam,"정제,저작정 ",249
105501ATR,alprazolam,서방형정제 ,250
105502ATB,alprazolam,"정제,저작정 ",251
105503ATB,alprazolam,"정제,저작정 ",252
105503ATR,alprazolam,서방형정제 ,253
105504ATB,alprazolam,"정제,저작정 ",254
105505ATB,alprazolam,"정제,저작정 ",255
105505ATR,alprazolam,서방형정제 ,256
105506ATB,alprazolam,"정제,저작정 ",257
105507ATB,alprazolam,"정제,저작정 ",258
105601BIJ,alprostadil,주사제 ,259
105602BIJ,alprostadil,주사제 ,260
105602CSP,alprostadil,좌제 ,261
105603BIJ,alprostadil,주사제 ,262
105604BIJ,alprostadil,주사제 ,263
105605CSP,alprostadil,좌제 ,264
105606CSP,alprostadil,좌제 ,265
105607CLQ,alprostadil,액제 ,266
105607CSP,alprostadil,좌제 ,267
105608CCM,alprostadil,"크림제,겔제,젤리 ",268
105611BIJ,alprostadil,주사제 ,269
105630BIJ,alprostadil,주사제 ,270
105631BIJ,alprostadil,주사제 ,271
105701BIJ,alprostadil α-cyclodextrin,주사제 ,272
105801ASS,aluminum hydroxide gel,"현탁액제,현탁액용정제,현탁액용산제 ",273
105802ASS,aluminum hydroxide gel,"현탁액제,현탁액용정제,현탁액용산제 ",274
105803BIJ,aluminum hydroxide gel,주사제 ,275
105804BIJ,aluminum hydroxide gel,주사제 ,276
105901ATB,aluminum hydroxide gel(dried),"정제,저작정 ",277
105902ATB,aluminum hydroxide gel(dried) (as aluminum hydroxide),"정제,저작정 ",278
105903APD,aluminum hydroxide gel(dried),산제 ,279
106001ASS,aluminum phosphate(colloidal),"현탁액제,현탁액용정제,현탁액용산제 ",280
106002ASS,aluminum phosphate(colloidal),"현탁액제,현탁액용정제,현탁액용산제 ",281
106003ASS,aluminum phosphate(dried),"현탁액제,현탁액용정제,현탁액용산제 ",282
106003ASY,aluminum phosphate (dried),"시럽제,건조시럽 ",283
106101ACH,amantadine hydrochloride,경질캡슐제 ,284
106201ATB,amantadine sulfate,"정제,저작정 ",285
106201BIJ,amantadine sulfate,주사제 ,286
106230BIJ,amantadine sulfate,주사제 ,287
106301ACH,ambroxol HCl,경질캡슐제 ,288
106301ATB,ambroxol hydrochloride,"정제,저작정 ",289
106302BIJ,ambroxol hydrochloride,주사제 ,290
106303ASY,ambroxol hydrochloride,"시럽제,건조시럽 ",291
106304ACH,ambroxol HCl,경질캡슐제 ,292
106304ACR,ambroxol hydrochloride,서방캡슐제 ,293
106305ALQ,ambroxol HCl,액제 ,294
106305CSI,ambroxol hydrochloride,분무제 및 흡입제 ,295
106306ATB,ambroxol hydrochloride,"정제,저작정 ",296
106306ATO,ambroxol hydrochloride,트로키제 ,297
106307BIJ,ambroxol HCl,주사제 ,298
106308ASY,ambroxol hydrochloride,"시럽제,건조시럽 ",299
106330BIJ,ambroxol hydrochloride,주사제 ,300
106330CSI,ambroxol hydrochloride,분무제 및 흡입제 ,301
106331ASY,ambroxol hydrochloride,"시럽제,건조시럽 ",302
106332ASY,ambroxol hydrochloride,"시럽제,건조시럽 ",303
106401CCM,amcinonide,"크림제,겔제,젤리 ",304
106401COM,amcinonide,연고제 ,305
106430CCM,amcinonide,"크림제,겔제,젤리 ",306
106501ATB,amezinium methylsulfate,"정제,저작정 ",307
106601ACH,amfenac sodium,경질캡슐제 ,308
106701BIJ,amifostine,주사제 ,309
106702BIJ,amifostine,주사제 ,310
106801BIJ,amikacin sulfate,주사제 ,311
106802BIJ,amikacin sulfate,주사제 ,312
106803BIJ,amikacin sulfate,주사제 ,313
106804BIJ,amikacin sulfate,주사제 ,314
106805BIJ,amikacin sulfate,주사제 ,315
106806CCM,amikacin sulfate,"크림제,겔제,젤리 ",316
106830BIJ,amikacin,주사제 ,317
106831BIJ,amikacin sulfate,주사제 ,318
106832BIJ,amikacin sulfate,주사제 ,319
106833BIJ,amikacin sulfate,주사제 ,320
106834BIJ,amikacin sulfate,주사제 ,321
106835BIJ,amikacin,주사제 ,322
106836BIJ,amikacin,주사제 ,323
106837BIJ,amikacin,주사제 ,324
106901ATB,amiloride hydrochloride,"정제,저작정 ",325
107001ATB,amineptine HCl,"정제,저작정 ",326
107101BIJ,amino acids,주사제 ,327
107102BIJ,amino acids,주사제 ,328
107103BIJ,amino acids,주사제 ,329
107104BIJ,amino acids,주사제 ,330
107105BIJ,amino acids,주사제 ,331
107106BIJ,amino acids,주사제 ,332
107107BIJ,amino acids,주사제 ,333
107108BIJ,amino acids,주사제 ,334
107109BIJ,amino acids,주사제 ,335
107110BIJ,amino acids,주사제 ,336
107111BIJ,amino acids,주사제 ,337
107112BIJ,amino acids,주사제 ,338
107113BIJ,amino acids,주사제 ,339
107114BIJ,amino acids,주사제 ,340
107115BIJ,amino acids,주사제 ,341
107116BIJ,amino acids,주사제 ,342
107117BIJ,amino acids,주사제 ,343
107118BIJ,amino acids,주사제 ,344
107119BIJ,amino acids,주사제 ,345
107120BIJ,amino acids,주사제 ,346
107121BIJ,amino acids,주사제 ,347
107122BIJ,amino acids,주사제 ,348
107123BIJ,amino acids,주사제 ,349
107124BIJ,amino acids,주사제 ,350
107125BIJ,amino acids,주사제 ,351
107127BIJ,amino acids,주사제 ,352
107131BIJ,amino acids(2.5%) ,주사제 ,353
107132BIJ,amino acids(2.5%),주사제 ,354
107133BIJ,amino acids(3%),주사제 ,355
107134BIJ,amino acids(3%),주사제 ,356
107135BIJ,amino acids(4%),주사제 ,357
107136BIJ,amino acids(4%),주사제 ,358
107137BIJ,amino acids(4%),주사제 ,359
107138BIJ,amino acids(4.5%),주사제 ,360
107139BIJ,amino acids(5%),주사제 ,361
107140BIJ,amino acids(5%),주사제 ,362
107141BIJ,amino acids(5.5%),주사제 ,363
107142BIJ,amino acids(6%),주사제 ,364
107143BIJ,amino acids(6%),주사제 ,365
107144BIJ,amino acids(6%),주사제 ,366
107145BIJ,amino acids(6%),주사제 ,367
107146BIJ,amino acids(6.1%),주사제 ,368
107147BIJ,amino acids(6.1%),주사제 ,369
107148BIJ,amino acids(7%),주사제 ,370
107149BIJ,amino acids(7%),주사제 ,371
107150BIJ,amino acids(7.5%),주사제 ,372
107151BIJ,amino acids(7.5%),주사제 ,373
107152BIJ,amino acids(8%),주사제 ,374
107153BIJ,amino acids(8%),주사제 ,375
107154BIJ,amino acids(8%),주사제 ,376
107155BIJ,amino acids(8.5%),주사제 ,377
107156BIJ,amino acids(8.5%),주사제 ,378
107157BIJ,amino acids(10%),주사제 ,379
107158BIJ,amino acids(10%),주사제 ,380
107159BIJ,amino acids(10%),주사제 ,381
107160BIJ,amino acids(10%),주사제 ,382
107161BIJ,amino acids(10.5%),주사제 ,383
107162BIJ,amino acids(10.5%),주사제 ,384
107163BIJ,amino acids(11.5%),주사제 ,385
107164BIJ,amino acids(12%),주사제 ,386
107165BIJ,amino acids(12.5%),주사제 ,387
107166BIJ,amino acids(12.5%),주사제 ,388
107167BIJ,amino acids(12.8%),주사제 ,389
107168BIJ,amino acids(12.8%),주사제 ,390
107169BIJ,amino acids(13%),주사제 ,391
107170BIJ,amino acids(13%),주사제 ,392
107171BIJ,amino acids(10.5%),주사제 ,393
107172BIJ,amino acids(7.5%),주사제 ,394
107173BIJ,amino acids(7.5%),주사제 ,395
107174BIJ,amino acids(5%),주사제 ,396
107175BIJ,amino acids(5%),주사제 ,397
107176BIJ,amino acids(5%),주사제 ,398
107177BIJ,amino acids(8%),주사제 ,399
107201ATB,aminocaproic acid,"정제,저작정 ",400
107202BIJ,aminocaproic acid,주사제 ,401
107301ATB,aminophylline hydrate,"정제,저작정 ",402
107301ATR,aminophylline hydrate,서방형정제 ,403
107302BIJ,aminophylline,주사제 ,404
107303ATR,aminophylline hydrate,서방형정제 ,405
107330BIJ,aminophylline,주사제 ,406
107401ATB,amiodarone hydrochloride,"정제,저작정 ",407
107402BIJ,amiodarone HCl,주사제 ,408
107430BIJ,amiodarone hydrochloride,주사제 ,409
107501ACR,amitriptyline HCl,서방캡슐제 ,410
107501ATB,amitriptyline hydrochloride,"정제,저작정 ",411
107502ACR,amitriptyline HCl,서방캡슐제 ,412
107502ATB,amitriptyline hydrochloride,"정제,저작정 ",413
107503ACR,amitriptyline HCl,서방캡슐제 ,414
107504ATB,amitriptyline hydrochloride,"정제,저작정 ",415
107601ATB,amlodipine besylate (as amlodipine),"정제,저작정 ",416
107601ATD,amlodipine besylate (as amlodipine),"확산정, 속붕정, 구강붕해정 ",417
107602ATB,amlodipine besylate (as amlodipine),"정제,저작정 ",418
107602ATD,amlodipine besylate (as amlodipine),"확산정, 속붕정, 구강붕해정 ",419
107603ATB,amlodipine besylate (as amlodipine),"정제,저작정 ",420
107701CLT,ammonium lactate,로션제 ,421
107702CCM,ammonium lactate solution,"크림제,겔제,젤리 ",422
107730CLT,ammonium lactate,로션제 ,423
107731CLT,ammonium lactate,로션제 ,424
107732CCM,ammonium lactate,"크림제,겔제,젤리 ",425
107801CLQ,amorolfine (HCl),액제 ,426
107802CLQ,amorolfine (HCl),액제 ,427
107803CCM,amorolfine (HCl),"크림제,겔제,젤리 ",428
107830CCM,amorolfine hydrochloride,"크림제,겔제,젤리 ",429
107831CLQ,amorolfine hydrochloride (as amorolfine),액제 ,430
107832CLQ,amorolfine hydrochloride (as amorolfine),액제 ,431
107833CLQ,amorolfine hydrochloride (as amorolfine),액제 ,432
107901ATB,amosulalol hydrochloride,"정제,저작정 ",433
107902ATB,amosulalol hydrochloride,"정제,저작정 ",434
108001ATB,amoxapine,"정제,저작정 ",435
108002ATB,amoxapine,"정제,저작정 ",436
108101ACH,amoxicillin,경질캡슐제 ,437
108101ATB,amoxicillin,"정제,저작정 ",438
108102ASY,amoxicillin,"시럽제,건조시럽 ",439
108103ACH,amoxicillin,경질캡슐제 ,440
108103ATB,amoxicillin,"정제,저작정 ",441
108130ASY,amoxicillin,"시럽제,건조시럽 ",442
108201BIJ,amoxicillin sodium (as amoxicillin),주사제 ,443
108202BIJ,amoxicillin sodium,주사제 ,444
108203BIJ,amoxicillin sodium (as amoxicillin),주사제 ,445
108301ATB,amphotericin B,"정제,저작정 ",446
108302BIJ,amphotericin B,주사제 ,447
108401BIJ,amphotericin B(colloidal),주사제 ,448
108402BIJ,amphotericin B (colloidal),주사제 ,449
108501BIJ,amphotericin B (liposomal),주사제 ,450
108601ACH,ampicillin sodium,경질캡슐제 ,451
108601BIJ,ampicillin sodium,주사제 ,452
108602ASY,ampicillin sodium,"시럽제,건조시럽 ",453
108603ACH,ampicillin sodium,경질캡슐제 ,454
108603BIJ,ampicillin sodium,주사제 ,455
108604ASY,ampicillin sodium,"시럽제,건조시럽 ",456
108701BIJ,amrinone,주사제 ,457
108702BIJ,amrinone,주사제 ,458
108730BIJ,amrinone,주사제 ,459
108801BIJ,amsacrine,주사제 ,460
108901BIJ,amytal sodium,주사제 ,461
109001ATB,anastrozole,"정제,저작정 ",462
109101COO,anhydrous liquid lanolin,"안연고제,점안겔제 ",463
109130COO,anhydrous liquid lanolin,"안연고제,점안겔제 ",464
109201BIJ,anti-inhibitor coagulant complex,주사제 ,465
109202BIJ,anti-inhibitor coagulant complex,주사제 ,466
109203BIJ,anti-inhibitor coagulant complex,주사제 ,467
109301BIJ,freeze-dried concentrated human antithrombin III,주사제 ,468
109401BIJ,antithymocyte globulin(equine),주사제 ,469
109501BIJ,antivenin agkistrodon halys,주사제 ,470
109601COS,apraclonidine(HCl),점안제,471
109602COS,apraclonidine hcl,점안제,472
109630COS,apraclonidine hydrochloride (as apraclonidine),점안제,473
109701BIJ,aprotinin,주사제 ,474
109702BIJ,aprotinin,주사제 ,475
109731BIJ,aprotinin,주사제 ,476
109801BIJ,arginine esterase,주사제 ,477
109901ALQ,sodium alginate,액제 ,478
109903ATB,sodium alginate,"정제,저작정 ",479
109904ATB,sodium alginate,"정제,저작정 ",480
109930ALQ,sodium alginate,액제 ,481
109931ALQ,sodium alginate,액제 ,482
109932ALQ,sodium alginate,액제 ,483
109933ALQ,sodium alginate,액제 ,484
109934ALQ,sodium alginate,액제 ,485
109935ALQ,sodium alginate,액제 ,486
109936ALQ,sodium alginate,액제 ,487
109937ALQ,sodium alginate,액제 ,488
109938ALQ,sodium alginate,액제 ,489
110001ACH,arginine thiazolidine carboxylate,경질캡슐제 ,490
110001ACS,arginine thiazolidine carboxylate,연질캡슐제 ,491
110001ATB,arginine thiazolidine carboxylate,"정제,저작정 ",492
110002BIJ,arginine thiazolidine carboxylate,주사제 ,493
110101ACS,arginine tidiacicate,연질캡슐제 ,494
110102ACS,arginine tidiacicate,연질캡슐제 ,495
110201ATB,arotinolol hydrochloride,"정제,저작정 ",496
110202ATB,arotinolol hydrochloride,"정제,저작정 ",497
110301ACH,artichokes conc.,경질캡슐제 ,498
110301ACS,artichokes conc.,연질캡슐제 ,499
110302ACS,artichokes conc.,연질캡슐제 ,500
110303ASY,artichokes conc.,"시럽제,건조시럽 ",501
110303ATB,artichoke conc.,"정제,저작정 ",502
110330ASY,artichokes ext.,"시럽제,건조시럽 ",503
110401APD,ascorbic acid,산제 ,504
110401ATB,ascorbic acid,"정제,저작정 ",505
110401BIJ,ascorbic acid,주사제 ,506
110402APD,ascorbic acid,산제 ,507
110402ATB,ascorbic acid,"정제,저작정 ",508
110402BIJ,ascorbic acid,주사제 ,509
110403ATB,ascorbic acid,"정제,저작정 ",510
110403BIJ,ascorbic acid,주사제 ,511
110403CTB,ascorbic acid,"정제,저작정 ",512
110404ACH,ascorbic acid,경질캡슐제 ,513
110404ACR,ascorbic acid,서방캡슐제 ,514
110404ATB,ascorbic acid,"정제,저작정 ",515
110404BIJ,ascorbic acid,주사제 ,516
110405ATB,ascorbic acid,"정제,저작정 ",517
110405BIJ,ascorbic acid,주사제 ,518
110406BIJ,ascorbic acid,주사제 ,519
110407BIJ,ascorbic acid,주사제 ,520
110408BIJ,ascorbic acid,주사제 ,521
110409BIJ,ascorbic acid,주사제 ,522
110410BIJ,ascorbic acid,주사제 ,523
110411BIJ,ascorbicacid,주사제 ,524
110412ATB,ascorbic acid,"정제,저작정 ",525
110412BIJ,ascorbic acid,주사제 ,526
110413BIJ,ascorbic acid,주사제 ,527
