제품코드,품목기준코드,제품명,업체코드,주성분코드
649507420,201701569.0,스립정10밀리그램(졸피뎀타르타르산염)_(10mg/1정),337.0,250501ATB
651904470,201606485.0,졸피신정5mg(졸피뎀타르타르산염)_(5mg/1정),245.0,250502ATB
643507160,201501813.0,졸피드정5밀리그램(졸피뎀타르타르산염)_(5mg/1정),472.0,250502ATB
649507410,201701570.0,스립정5밀리그램(졸피뎀타르타르산염)_(5mg/1정),337.0,250502ATB
652100660,200700635.0,스틸녹스CR정6.25밀리그램(졸피뎀타르타르산염)_(6.25mg/1정),160.0,250503ATR
652100650,200700636.0,스틸녹스CR정12.5밀리그램(졸피뎀타르타르산염)_(12.5mg/1정),160.0,250504ATR
642404880,202008746.0,영진조피클론정1밀리그램(에스조피클론)_(1mg/1정),329.0,680401ATB
651904900,202002178.0,조스정1밀리그램(에스조피클론)_(1mg/1정),245.0,680401ATB
670608170,201902863.0,조피스타정1밀리그램(에스조피클론)_(1mg/1정),165.0,680401ATB
642404890,202008747.0,영진조피클론정2밀리그램(에스조피클론)_(2mg/1정),329.0,680402ATB
651904910,202002180.0,조스정2밀리그램(에스조피클론)_(2mg/1정),245.0,680402ATB
670608180,201902864.0,조피스타정2밀리그램(에스조피클론)_(2mg/1정),165.0,680402ATB
642404900,202008748.0,영진조피클론정3밀리그램(에스조피클론)_(3mg/1정),329.0,680403ATB
651904920,202002179.0,조스정3밀리그램(에스조피클론)_(3mg/1정),245.0,680403ATB
670608190,201902865.0,조피스타정3밀리그램(에스조피클론)_(3mg/1정),165.0,680403ATB
642204620,202202678.0,잘레딥캡슐5밀리그램(잘레플론)_(5mg/1캡슐),258.0,717401ACH
642204630,202202679.0,잘레딥캡슐10밀리그램(잘레플론)_(10mg/1캡슐),258.0,717402ACH
653601111,200307818.0,테그레톨시럽2%(카르바마제핀)_(2g/100mL),418.0,123130ASY
651901860,198500634.0,카마제핀정(카르바마제핀)_(0.2g/1정),245.0,123102ATB
653601130,200307816.0,테그레톨정200밀리그램(카르바마제핀)_(0.2g/1정),418.0,123102ATB
653001520,200501541.0,아트레톨씨알정(카르바마제핀)_(0.2g/1정),154.0,123102ATR
657200530,199101166.0,에필렙톨씨알정(카르바마제핀)_(0.2g/1정),483.0,123102ATR
649802760,199102609.0,카르마인씨알정(카르바마제핀)_(0.2g/1정),243.0,123102ATR
651901840,199000983.0,카마제핀씨알정200밀리그람(카르바마제핀)_(0.2g/1정),245.0,123102ATR
653601120,200307819.0,테그레톨씨알정200밀리그램(카르바마제핀)_(0.2g/1정),418.0,123102ATR
642201050,199801575.0,부광티모닐서방정300밀리그램(카르바마제핀)_(0.3g/1정),258.0,123104ATR
651901850,199301180.0,카마제핀씨알정300밀리그람(카르바마제핀)_(0.3g/1정),245.0,123104ATR
657202690,201400403.0,환인클로나제팜정0.5밀리그램_(0.5mg/1정),483.0,136401ATB
643308800,200610884.0,리보트릴정(클로나제팜)_(0.5mg/1정),119.0,136401ATB
642201070,197000104.0,부광페니토인캡슐100밀리그램_(0.1g/1캡슐),258.0,146801ACH
651900910,198500605.0,명인페니토인100밀리그람정_(0.1g/1정),245.0,146801ATB
657201120,197500285.0,환인히단토인정(페니토인)_(0.1g/1정),483.0,146801ATB
653006930,202303449.0,디발프로서방정250밀리그램(디발프로엑스나트륨)_(0.26905g/1정),154.0,147701ATR
644200080,200511051.0,데파코트서방정250mg(디발프로엑스나트륨)_(0.2691g/1정),438.0,147701ATR
653006910,202303094.0,디발프로서방정500밀리그램(디발프로엑스나트륨)_(0.5381g/1정),154.0,147702ATR
644200090,200209716.0,데파코트서방정500㎎(디발프로엑스나트륨)_(0.5381g/1정),438.0,147702ATR
644200100,199504171.0,데파코트스프링클캅셀(디발프로엑스나트륨입자)_(0.2263g/1캡슐),438.0,147801ACH
661904040,201200246.0,자론티연질캡슐(에토숙시미드)_(0.25g/1캡슐),331.0,155901ACS
647800210,200501569.0,뉴로카바캡슐100밀리그램(가바펜틴)_(0.1g/1캡슐),276.0,164201ACH
656702070,202001491.0,넬슨가바펜틴캡슐100밀리그램_(0.1g/1캡슐),417.0,164201ACH
652601470,200512240.0,펜다운캡슐100밀리그램(가바펜틴)_(0.1g/1캡슐),303.0,164201ACH
646004290,201604529.0,뉴로닌캡슐100밀리그램(가바펜틴)_(0.1g/1캡슐),35.0,164201ACH
643300030,200500128.0,가바렙캡슐100밀리그람(가바펜틴)_(0.1g/1캡슐),119.0,164201ACH
642003570,201503869.0,현대가바펜틴캡슐100밀리그램_(0.1g/1캡슐),479.0,164201ACH
678600850,201801625.0,가바티론캡슐100밀리그램(가바펜틴)_(0.1g/1캡슐),21.0,164201ACH
671706140,201907289.0,카나가바로틴캡슐100밀리그램(가바펜틴)_(0.1g/1캡슐),379.0,164201ACH
677100500,201305040.0,펜믹스가바펜틴캡슐100밀리그램_(0.1g/1캡슐),137.0,164201ACH
644603330,201507872.0,가바인캡슐100mg(가바펜틴)_(0.1g/1캡슐),366.0,164201ACH
645208810,201506825.0,가베틴캡슐100밀리그램(가바펜틴)_(0.1g/1캡슐),87.0,164201ACH
625201160,201600780.0,뉴펜틴캡슐100밀리그램(가바펜틴)_(0.1g/1캡슐),162.0,164201ACH
661604560,201508005.0,알피가바펜틴캡슐100mg_(0.1g/1캡슐),81.0,164201ACH
621802910,201603324.0,가바스탄캡슐100mg(가바펜틴)_(0.1g/1캡슐),155.0,164201ACH
647204990,201800837.0,가비스타캡슐100밀리그램(가바펜틴)_(0.1g/1캡슐),460.0,164201ACH
669502310,201801845.0,씨티가바캡슐100mg(가바펜틴)_(0.1g/1캡슐),76.0,164201ACH
669805100,201803472.0,가바랩캡슐100mg(가바펜틴)_(0.1g/1캡슐),201.0,164201ACH
647303620,201900241.0,씨트펜틴캡슐100밀리그램(가바펜틴)_(0.1g/1캡슐),317.0,164201ACH
649104240,201900773.0,가바스틸캡슐100mg(가바펜틴)_(0.1g/1캡슐),467.0,164201ACH
628901170,201900792.0,이로바캡슐100밀리그램(가바펜틴)_(0.1g/1캡슐),110.0,164201ACH
665507070,201901101.0,유니펜틴캡슐100밀리그램(가바펜틴)_(0.1g/1캡슐),454.0,164201ACH
629701550,201900843.0,오스가바캡슐100밀리그램(가바펜틴)_(0.1g/1캡슐),97.0,164201ACH
55101140,201902083.0,가바투캡슐100밀리그램(가바펜틴)_(0.1g/1캡슐),401.0,164201ACH
669907460,201903623.0,가바텐캡슐100밀리그램(가바펜틴)_(0.1g/1캡슐),212.0,164201ACH
658107490,201906362.0,가바페캡슐100밀리그램(가바펜틴)_(0.1g/1캡슐),4.0,164201ACH
58200440,201907285.0,아가바캡슐100밀리그램(가바펜틴)_(0.1g/1캡슐),77.0,164201ACH
648604030,202001434.0,가바렉스캡슐100mg(가바펜틴)_(0.1g/1캡슐),75.0,164201ACH
641907530,202001804.0,보령가바펜틴캡슐100밀리그램_(0.1g/1캡슐),47.0,164201ACH
674402090,202001878.0,아바펜캡슐100밀리그램(가바펜틴)_(0.1g/1캡슐),297.0,164201ACH
679601320,202002077.0,가바원캡슐100밀리그램(가바펜틴)_(0.1g/1캡슐),65.0,164201ACH
54800950,202002687.0,가바론틴캡슐100밀리그램(가바펜틴)_(0.1g/1캡슐),324.0,164201ACH
660703470,202003240.0,위더펜틴캡슐100밀리그램(가바펜틴)_(0.1g/1캡슐),336.0,164201ACH
622804270,201905555.0,뉴가틴엠캡슐100mg(가바펜틴)_(0.1g/1캡슐),34.0,164201ACH
657503660,202003457.0,뉴벤틴캡슐100밀리그램(가바펜틴)_(0.1g/1캡슐),248.0,164201ACH
670502180,202003995.0,가바프로캡슐100밀리그램(가바펜틴)_(0.1g/1캡슐),48.0,164201ACH
60500300,202000805.0,메가바틴캡슐100밀리그램(가바펜틴)_(0.1g/1캡슐),93.0,164201ACH
73000930,201907224.0,건스펜틴캡슐100밀리그램(가바펜틴)_(0.1g/1캡슐),189.0,164201ACH
59001210,201901919.0,가바케이캡슐100밀리그램(가바펜틴)_(0.1g/1캡슐),382.0,164201ACH
643700900,200500389.0,네오펜틴캡슐100밀리그람(가바펜틴)_(0.1g/1캡슐),203.0,164201ACH
642900470,200500426.0,메가펜틴캡슐100밀리그램(가바펜틴)_(0.1g/1캡슐),343.0,164201ACH
642800030,200402135.0,가바틴캡슐100밀리그람(가바펜틴)_(0.1g/1캡슐),198.0,164201ACH
642500370,200500246.0,동아가바펜틴캡슐100밀리그램(가바펜틴)_(0.1g/1캡슐),226.0,164201ACH
73400450,200511064.0,뉴론틴캡슐100밀리그램(가바펜틴)_(0.1g/1캡슐),263.0,164201ACH
657200060,200401328.0,뉴렙톨캡슐100밀리그램(가바펜틴)_(0.1g/1캡슐),483.0,164201ACH
643500010,200512242.0,가바페닌캡슐100밀리그램(가바펜틴)_(0.1g/1캡슐),472.0,164201ACH
656003910,201505160.0,가바로닌캡슐100mg(가바펜틴)_(0.1g/1캡슐),302.0,164201ACH
694000960,201505781.0,네버펜틴캡슐100밀리그램(가바펜틴)_(0.1g/1캡슐),210.0,164201ACH
657800080,200701335.0,뉴가바캡슐100밀리그람(가바펜틴)_(0.1g/1캡슐),415.0,164201ACH
693902110,201601646.0,뉴로가펜캡슐100밀리그램(가바펜틴)_(0.1g/1캡슐),69.0,164201ACH
670100070,200502030.0,뉴로스캡슐100밀리그람(가바펜틴)_(0.1g/1캡슐),134.0,164201ACH
656204520,201602329.0,레고펜틴캡슐100밀리그램(가바펜틴)_(0.1g/1캡슐),42.0,164201ACH
649502220,200503066.0,유니론틴캡슐100밀리그람(가바펜틴)_(0.1g/1캡슐),337.0,164201ACH
670301470,200500583.0,코오롱가바펜틴캡슐100밀리그램(가바펜틴)_(0.1g/1캡슐),402.0,164201ACH
653002670,200708089.0,파마가바펜틴캡슐100밀리그람_(0.1g/1캡슐),154.0,164201ACH
651300660,201902354.0,뉴론텍캡슐100밀리그램(가바펜틴)_(0.1g/1캡슐),62.0,164201ACH
652904160,201901875.0,서울가바펜틴캡슐100밀리그램_(0.1g/1캡슐),64.0,164201ACH
658604190,202002758.0,가벤틴캡슐100밀리그램(가바펜틴)_(0.1g/1캡슐),341.0,164201ACH
657300010,200512315.0,가바피나캡슐(가바펜틴)_(0.3g/1캡슐),29.0,164202ACH
642003590,201503945.0,현대가바펜틴캡슐300밀리그램_(0.3g/1캡슐),479.0,164202ACH
656700140,200502012.0,넬슨가바펜틴캡슐(가바펜틴)_(0.3g/1캡슐),417.0,164202ACH
658200090,200501141.0,뉴바틴캡슐(가바펜틴)_(0.3g/1캡슐),50.0,164202ACH
678600860,201801626.0,가바티론캡슐300밀리그램(가바펜틴)_(0.3g/1캡슐),21.0,164202ACH
671706150,201907290.0,카나가바로틴캡슐300밀리그램(가바펜틴)_(0.3g/1캡슐),379.0,164202ACH
621801130,200805255.0,가바스탄캡슐(가바펜틴)_(0.3g/1캡슐),155.0,164202ACH
644801930,200501038.0,태극가바펜틴캡슐_(0.3g/1캡슐),408.0,164202ACH
648602860,201405764.0,가바렉스캡슐300mg(가바펜틴)_(0.3g/1캡슐),75.0,164202ACH
649102080,201308752.0,가바스틸캡슐300mg(가바펜틴)_(0.3g/1캡슐),467.0,164202ACH
644603290,201507611.0,가바인캡슐300mg(가바펜틴)_(0.3g/1캡슐),366.0,164202ACH
693201330,201405788.0,가바킹캡슐300mg(가바펜틴)_(0.3g/1캡슐),144.0,164202ACH
625800340,201405723.0,가틴캡슐(가바펜틴)_(0.3g/1캡슐),242.0,164202ACH
645604580,201501950.0,뉴로가바캡슐(가바펜틴)_(0.3g/1캡슐),217.0,164202ACH
625200390,201402891.0,뉴펜틴캡슐300mg(가바펜틴)_(0.3g/1캡슐),162.0,164202ACH
649601090,200500657.0,바론틴캡슐300밀리그람(가바펜틴)_(0.3g/1캡슐),209.0,164202ACH
674400660,201601570.0,아바펜캡슐300밀리그램(가바펜틴)_(0.3g/1캡슐),297.0,164202ACH
661604550,201508006.0,알피가바펜틴캡슐300mg_(0.3g/1캡슐),81.0,164202ACH
661904150,201307290.0,카바펜캡슐300밀리그램(가바펜틴)_(0.3g/1캡슐),331.0,164202ACH
647205000,201800838.0,가비스타캡슐300밀리그램(가바펜틴)_(0.3g/1캡슐),460.0,164202ACH
669502300,201801846.0,씨티가바캡슐300mg(가바펜틴)_(0.3g/1캡슐),76.0,164202ACH
628901080,201802837.0,이로바캡슐300mg(가바펜틴)_(0.3g/1캡슐),110.0,164202ACH
647303610,201900240.0,씨트펜틴캡슐300밀리그램(가바펜틴)_(0.3g/1캡슐),317.0,164202ACH
665507080,201901102.0,유니펜틴캡슐300밀리그램(가바펜틴)_(0.3g/1캡슐),454.0,164202ACH
629701540,201900842.0,오스가바캡슐300밀리그램(가바펜틴)_(0.3g/1캡슐),97.0,164202ACH
693902960,201901590.0,뉴로가펜캡슐300밀리그램(가바펜틴)_(0.3g/1캡슐),69.0,164202ACH
55101160,201902082.0,가바투캡슐300밀리그램(가바펜틴)_(0.3g/1캡슐),401.0,164202ACH
669907470,201903624.0,가바텐캡슐300밀리그램(가바펜틴)_(0.3g/1캡슐),212.0,164202ACH
628801490,201906106.0,휴론틴캡슐300밀리그램(가바펜틴)_(0.3g/1캡슐),164.0,164202ACH
658107500,201906363.0,가바페캡슐300밀리그램(가바펜틴)_(0.3g/1캡슐),4.0,164202ACH
58200470,201907284.0,아가바캡슐300밀리그램(가바펜틴)_(0.3g/1캡슐),77.0,164202ACH
698504040,201904731.0,가바텍스캡슐300밀리그램(가바펜틴)_(0.3g/1캡슐),127.0,164202ACH
641907520,202001803.0,보령가바펜틴캡슐300밀리그램_(0.3g/1캡슐),47.0,164202ACH
679601310,202002076.0,가바원캡슐300밀리그램(가바펜틴)_(0.3g/1캡슐),65.0,164202ACH
54800960,202002688.0,가바론틴캡슐300밀리그램(가바펜틴)_(0.3g/1캡슐),324.0,164202ACH
660703460,202003239.0,위더펜틴캡슐300밀리그램(가바펜틴)_(0.3g/1캡슐),336.0,164202ACH
622804260,201905554.0,뉴가틴엠캡슐300mg(가바펜틴)_(0.3g/1캡슐),34.0,164202ACH
670502190,202003992.0,가바프로캡슐300밀리그램(가바펜틴)_(0.3g/1캡슐),48.0,164202ACH
60500310,202000804.0,메가바틴캡슐300밀리그램(가바펜틴)_(0.3g/1캡슐),93.0,164202ACH
655404340,202001336.0,가뉴틴캡슐300밀리그램(가바펜틴)_(0.3g/1캡슐),344.0,164202ACH
73000940,201907225.0,건스펜틴캡슐300밀리그램(가바펜틴)_(0.3g/1캡슐),189.0,164202ACH
59001220,201901918.0,가바케이캡슐300밀리그램(가바펜틴)_(0.3g/1캡슐),382.0,164202ACH
646800020,200300335.0,건일가바펜틴캡슐300밀리그램_(0.3g/1캡슐),190.0,164202ACH
656204530,201602303.0,레고펜틴캡슐300밀리그램(가바펜틴)_(0.3g/1캡슐),42.0,164202ACH
651900030,200501160.0,가펜틴캡슐300밀리그람(가바펜틴)_(0.3g/1캡슐),245.0,164202ACH
653002660,200501564.0,파마가바펜틴캡슐(가바펜틴)_(0.3g/1캡슐),154.0,164202ACH
642800040,200402136.0,가바틴캡슐300밀리그람(가바펜틴)_(0.3g/1캡슐),198.0,164202ACH
73400430,200511066.0,뉴론틴캡슐300밀리그램(가바펜틴)_(0.3g/1캡슐),263.0,164202ACH
642500360,200400175.0,동아가바펜틴캡슐300밀리그램(가바펜틴)_(0.3g/1캡슐),226.0,164202ACH
657200070,200300985.0,뉴렙톨캡슐300밀리그램(가바펜틴)_(0.3g/1캡슐),483.0,164202ACH
647800200,200401738.0,뉴로카바캡슐(가바펜틴)_(0.3g/1캡슐),276.0,164202ACH
642900480,200400321.0,메가펜틴캡슐300밀리그램(가바펜틴)_(0.3g/1캡슐),343.0,164202ACH
643500020,200410957.0,가바페닌캡슐300밀리그램(가바펜틴)_(0.3g/1캡슐),472.0,164202ACH
646000120,200501265.0,뉴로닌캡슐(가바펜틴)_(0.3g/1캡슐),35.0,164202ACH
652601460,200401009.0,펜다운캡슐(가바펜틴)_(0.3g/1캡슐),303.0,164202ACH
648500010,200400015.0,가바론캡슐300mg(가바펜틴)_(0.3g/1캡슐),293.0,164202ACH
670100060,200402483.0,뉴로스캡슐(가바펜틴)_(0.3g/1캡슐),134.0,164202ACH
649502210,200302485.0,유니론틴캡슐300밀리그램(가바펜틴)_(0.3g/1캡슐),337.0,164202ACH
670301480,200400519.0,코오롱가바펜틴캡슐300밀리그램(가바펜틴)_(0.3g/1캡슐),402.0,164202ACH
643300040,200400105.0,가바렙캡슐300밀리그람(가바펜틴)_(0.3g/1캡슐),119.0,164202ACH
656003900,201505159.0,가바로닌캡슐300mg(가바펜틴)_(0.3g/1캡슐),302.0,164202ACH
648100010,200402344.0,가바펜캡슐(가바펜틴)_(0.3g/1캡슐),194.0,164202ACH
658600020,200500215.0,가벤틴캡슐300mg(가바펜틴)_(0.3g/1캡슐),341.0,164202ACH
694000140,200400481.0,네버펜틴캡슐300밀리그램(가바펜틴)_(0.3g/1캡슐),210.0,164202ACH
643700890,200500386.0,네오펜틴캡슐(가바펜틴)_(0.3g/1캡슐),203.0,164202ACH
657800090,200502089.0,뉴가바캡슐300밀리그람(가바펜틴)_(0.3g/1캡슐),415.0,164202ACH
644300240,200401772.0,뉴로펜틴캡슐(가바펜틴)_(0.3g/1캡슐),453.0,164202ACH
651300670,201902355.0,뉴론텍캡슐300밀리그램(가바펜틴)_(0.3g/1캡슐),62.0,164202ACH
652904170,201901876.0,서울가바펜틴캡슐300밀리그램_(0.3g/1캡슐),64.0,164202ACH
671706290,202000423.0,카나가바로틴캡슐400밀리그램(가바펜틴)_(0.4g/1캡슐),379.0,164203ACH
642800050,200301505.0,가바틴캡슐400밀리그람(가바펜틴)_(0.4g/1캡슐),198.0,164203ACH
642500380,200500252.0,동아가바펜틴캡슐400밀리그램(가바펜틴)_(0.4g/1캡슐),226.0,164203ACH
73400420,200511065.0,뉴론틴캡슐400밀리그램(가바펜틴)_(0.4g/1캡슐),263.0,164203ACH
642505270,200606294.0,동아가바펜틴정600밀리그램(가바펜틴)_(0.6g/1정),226.0,164204ATB
648600010,200608194.0,가바렉스정600밀리그램(가바펜틴)_(0.6g/1정),75.0,164204ATB
694000150,200400479.0,네버펜틴정600밀리그램(가바펜틴)_(0.6g/1정),210.0,164204ATB
73400440,200605253.0,뉴론틴정600밀리그램(가바펜틴)_(0.6g/1정),263.0,164204ATB
642800010,200501879.0,가바틴정600밀리그램(가바펜틴)_(0.6g/1정),198.0,164204ATB
642800020,200402138.0,가바틴정800밀리그램(가바펜틴)_(0.8g/1정),198.0,164205ATB
642500340,200500254.0,동아가바펜틴정800밀리그램(가바펜틴)_(0.8g/1정),226.0,164205ATB
73400400,200606183.0,뉴론틴정800밀리그램(가바펜틴)_(0.8g/1정),263.0,164205ATB
643500040,200502192.0,가바페닌정800밀리그램(가바펜틴)_(0.8g/1정),472.0,164205ATB
658600170,200500216.0,라모진정100밀리그람(라모트리진)_(0.1g/1정),341.0,181001ATB
651900220,200708888.0,라모스탈정100밀리그램(라모트리진)_(0.1g/1정),245.0,181001ATB
642200660,200611060.0,라모티진정100밀리그램(라모트리진)_(0.1g/1정),258.0,181001ATB
645300290,200502871.0,라비시틴정100밀리그람(라모트리진)_(0.1g/1정),471.0,181001ATB
650000190,200209641.0,라믹탈정100밀리그램(라모트리진)_(0.1g/1정),8.0,181001ATB
626900260,201201264.0,테바라모트리진츄어블정100밀리그램_(0.1g/1정),161.0,181001ATB
641600450,200706331.0,라미아트정100밀리그램(라모트리진)_(0.1g/1정),23.0,181001ATB
645300270,200708355.0,라비시틴정25밀리그램(라모트리진)_(25mg/1정),471.0,181002ATB
642202540,200809576.0,라모티진정25밀리그램(라모트리진)_(25mg/1정),258.0,181002ATB
658602590,200901637.0,라모진정25mg(라모트리진)_(25mg/1정),341.0,181002ATB
626900250,201201263.0,테바라모트리진츄어블정25밀리그램_(25mg/1정),161.0,181002ATB
650000170,200209641.0,라믹탈정25밀리그램(라모트리진)_(25mg/1정),8.0,181002ATB
641600460,200706332.0,라미아트정25밀리그램(라모트리진)_(25mg/1정),23.0,181002ATB
651903260,201001684.0,라모스탈정50밀리그램(라모트리진)_(50mg/1정),245.0,181003ATB
642202550,200809575.0,라모티진정50밀리그램(라모트리진)_(50mg/1정),258.0,181003ATB
645300280,200705098.0,라비시틴정50밀리그램(라모트리진)_(50mg/1정),471.0,181003ATB
658602110,200901633.0,라모진정50mg(라모트리진)_(50mg/1정),341.0,181003ATB
650000180,200209641.0,라믹탈정50밀리그램(라모트리진)_(50mg/1정),8.0,181003ATB
626900380,201200435.0,테바라모트리진츄어블정50밀리그램_(50mg/1정),161.0,181003ATB
641600470,200706333.0,라미아트정50밀리그램(라모트리진)_(50mg/1정),23.0,181003ATB
650000210,200603850.0,라믹탈츄어블정5밀리그램(라모트리진)_(5mg/1정),8.0,181004ATB
653601171,200611514.0,트리렙탈현탁액6%(옥스카르바제핀)_(6g/100mL),418.0,206330ASS
651903880,201309501.0,옥사제핀정300mg(옥스카르바제핀)_(0.3g/1정),245.0,206301ATB
653601150,200008777.0,트리렙탈필름코팅정300밀리그램(옥스카르바제핀)_(0.3g/1정),418.0,206301ATB
649502180,200403783.0,유니렙시정(옥스카르바제핀)_(0.3g/1정),337.0,206301ATB
651904400,201604015.0,옥사제핀정600mg(옥스카르바제핀)_(0.6g/1정),245.0,206302ATB
653601160,200008778.0,트리렙탈필름코팅정600밀리그램(옥스카르바제핀)_(0.6g/1정),418.0,206302ATB
651904150,201405474.0,옥사제핀정150mg(옥스카르바제핀)_(0.15g/1정),245.0,206303ATB
653601140,200008776.0,트리렙탈필름코팅정150밀리그램(옥스카르바제핀)_(0.15g/1정),418.0,206303ATB
641601060,198000160.0,대웅프리미돈정_(0.25g/1정),23.0,217801ATB
642201732,200001939.0,오르필시럽(발프로산나트륨)_(9g/150mL),258.0,229734ASY
642201700,199801581.0,오르필서방정150밀리그램(발프로산나트륨)_(0.15g/1정),258.0,229701ATR
647801720,198000301.0,에필람정(발프로산나트륨)_(0.2g/1정),276.0,229703ATB
657200310,199400905.0,바렙톨서방정(발프로산나트륨)_(0.3g/1정),483.0,229705ATR
652100180,200701028.0,"데파킨크로노정300밀리그램_(발프로산나트륨, 0.3g/1정)",160.0,229705ATR
642201710,199001352.0,오르필서방정300밀리그램(발프로산나트륨)_(0.3g/1정),258.0,229705ATR
652100190,200701033.0,"데파킨크로노정500밀리그램_(발프로산나트륨, 0.5g/1정)",160.0,229706ATR
642201720,199901651.0,오르필서방정600밀리그램(발프로산나트륨)_(0.6g/1정),258.0,229707ATR
644704520,201706471.0,큐덱시서방캡슐100밀리그램(토피라메이트)_(0.1g/1캡슐),311.0,241801ACR
653404890,201805025.0,피트메이트정100밀리그램(토피라메이트)_(0.1g/1정),222.0,241801ATB
627600130,201503842.0,피엠에스토피라메이트정100밀리그램_(0.1g/1정),411.0,241801ATB
670601230,200600543.0,세티정(토피라메이트)_(0.1g/1정),165.0,241801ATB
642004610,201602619.0,토파린정100밀리그램(토피라메이트)_(0.1g/1정),479.0,241801ATB
651902130,200401252.0,토파메이트정100밀리그람(토피라메이트)_(0.1g/1정),245.0,241801ATB
651602620,201907816.0,한화토피라메이트정100밀리그램_(0.1g/1정),476.0,241801ATB
649104320,201901689.0,토피맥스정100mg(토피라메이트)_(0.1g/1정),467.0,241801ATB
58200370,201907073.0,아토맥정100밀리그램(토피라메이트)_(0.1g/1정),77.0,241801ATB
641907540,202001815.0,보령토피라메이트정100밀리그램_(0.1g/1정),47.0,241801ATB
694002790,201908515.0,토피스트정100밀리그램(토피라메이트)_(0.1g/1정),210.0,241801ATB
622801850,201401064.0,토파원정100밀리그램(토피라메이트)_(0.1g/1정),34.0,241801ATB
657200800,200501237.0,토피라트정100밀리그램(토피라메이트)_(0.1g/1정),483.0,241801ATB
646902390,202005672.0,토파맥스정100밀리그램(토피라메이트)_(0.1g/1정),152.0,241801ATB
645301900,200502866.0,토피론정100밀리그램(토피라메이트)_(0.1g/1정),471.0,241801ATB
649803170,200502654.0,토파민정(토피라메이트)_(0.1g/1정),243.0,241801ATB
642902290,200400323.0,토파메드정100밀리그램(토피라메이트)_(0.1g/1정),343.0,241801ATB
649503080,200503065.0,유니토파정(토피라메이트)_(0.1g/1정),337.0,241801ATB
643502960,200502186.0,토피라정100밀리그램(토피라메이트)_(0.1g/1정),472.0,241801ATB
693901840,201506136.0,토파스정100밀리그램(토피라메이트)_(0.1g/1정),69.0,241801ATB
652603780,200403319.0,토팜정(토피라메이트)_(0.1g/1정),303.0,241801ATB
657805360,201404441.0,토맥스정100밀리그램(토피라메이트)_(0.1g/1정),415.0,241801ATB
644704530,201706472.0,큐덱시서방캡슐200밀리그램(토피라메이트)_(0.2g/1캡슐),311.0,241802ACR
646902280,202000434.0,토파맥스스프링클캡슐25밀리그램(토피라메이트)_(25mg/1캡슐),152.0,241803ACH
644704540,201706473.0,큐덱시서방캡슐25밀리그램(토피라메이트)_(25mg/1캡슐),311.0,241803ACR
641803110,200608183.0,토피리드정25밀리그램(토피라메이트)_(25mg/1정),199.0,241803ATB
653404050,201802220.0,피트메이트정(토피라메이트)_(25mg/1정),222.0,241803ATB
