제품코드,효능군중복_효능군,효능군중복_Group
693202110,혈압강하작용의약품 (B),Group07
693901620,혈압강하작용의약품 (B),Group07
694000870,혈압강하작용의약품 (B),Group07
698002140,혈압강하작용의약품 (B),Group07
699100020,혈압강하작용의약품 (B),Group07
53600380,혈압강하작용의약품 (B),Group07
73400390,혈압강하작용의약품 (B),Group07
642002570,혈압강하작용의약품 (B),Group07
642203450,혈압강하작용의약품 (B),Group07
642705540,혈압강하작용의약품 (B),Group07
644003460,혈압강하작용의약품 (B),Group07
644308300,혈압강하작용의약품 (B),Group07
647303840,혈압강하작용의약품 (B),Group07
648506570,혈압강하작용의약품 (B),Group07
653804440,혈압강하작용의약품 (B),Group07
664602600,혈압강하작용의약품 (B),Group07
693901690,혈압강하작용의약품 (B),Group07
73400370,혈압강하작용의약품 (B),Group07
640002870,혈압강하작용의약품 (B),Group05
643903760,혈압강하작용의약품 (B),Group05
640002860,혈압강하작용의약품 (B),Group05
643903750,혈압강하작용의약품 (B),Group05
641100070,해열진통소염제 (A),Group01
642001350,혈압강하작용의약품 (B),Group05
653804820,혈압강하작용의약품 (B),Group05
642001360,혈압강하작용의약품 (B),Group05
646001290,혈압강하작용의약품 (B),Group05
647801650,혈압강하작용의약품 (B),Group05
648101420,혈압강하작용의약품 (B),Group05
648601140,혈압강하작용의약품 (B),Group05
649600430,혈압강하작용의약품 (B),Group05
649803030,혈압강하작용의약품 (B),Group05
651200860,혈압강하작용의약품 (B),Group05
653801360,혈압강하작용의약품 (B),Group05
654202480,혈압강하작용의약품 (B),Group05
654700820,혈압강하작용의약품 (B),Group05
657500820,혈압강하작용의약품 (B),Group05
658501840,혈압강하작용의약품 (B),Group05
663601200,혈압강하작용의약품 (B),Group05
664900370,혈압강하작용의약품 (B),Group05
671700730,혈압강하작용의약품 (B),Group05
679800500,혈압강하작용의약품 (B),Group05
698500160,혈압강하작용의약품 (B),Group05
52401750,지질저하제 (C),Group01
52701080,지질저하제 (C),Group01
53300310,지질저하제 (C),Group01
53600350,지질저하제 (C),Group01
54800020,지질저하제 (C),Group01
57600280,지질저하제 (C),Group01
57700250,지질저하제 (C),Group01
58200040,지질저하제 (C),Group01
58800060,지질저하제 (C),Group01
59000450,지질저하제 (C),Group01
59600060,지질저하제 (C),Group01
60500770,지질저하제 (C),Group01
73001440,지질저하제 (C),Group01
73400340,지질저하제 (C),Group01
621802290,지질저하제 (C),Group01
622600500,지질저하제 (C),Group01
622801580,지질저하제 (C),Group01
623004040,지질저하제 (C),Group01
625200130,지질저하제 (C),Group01
625500520,지질저하제 (C),Group01
628800340,지질저하제 (C),Group01
628900440,지질저하제 (C),Group01
629701500,지질저하제 (C),Group01
640902490,지질저하제 (C),Group01
641501710,지질저하제 (C),Group01
641602890,지질저하제 (C),Group01
641700370,지질저하제 (C),Group01
641800580,지질저하제 (C),Group01
641906150,지질저하제 (C),Group01
642004940,지질저하제 (C),Group01
642100980,지질저하제 (C),Group01
642203430,지질저하제 (C),Group01
642306280,지질저하제 (C),Group01
642505070,지질저하제 (C),Group01
642702290,지질저하제 (C),Group01
642800510,지질저하제 (C),Group01
642903770,지질저하제 (C),Group01
643103640,지질저하제 (C),Group01
643202370,지질저하제 (C),Group01
643304610,지질저하제 (C),Group01
643504090,지질저하제 (C),Group01
643605340,지질저하제 (C),Group01
643703590,지질저하제 (C),Group01
644003310,지질저하제 (C),Group01
644308470,지질저하제 (C),Group01
644602690,지질저하제 (C),Group01
645203870,지질저하제 (C),Group01
645906220,지질저하제 (C),Group01
646003780,지질저하제 (C),Group01
646201280,지질저하제 (C),Group01
646801490,지질저하제 (C),Group01
647203670,지질저하제 (C),Group01
647300180,지질저하제 (C),Group01
647803660,지질저하제 (C),Group01
648101430,지질저하제 (C),Group01
648201020,지질저하제 (C),Group01
648506820,지질저하제 (C),Group01
648602590,지질저하제 (C),Group01
649001090,지질저하제 (C),Group01
649101310,지질저하제 (C),Group01
649401300,지질저하제 (C),Group01
649506230,지질저하제 (C),Group01
649600920,지질저하제 (C),Group01
649701750,지질저하제 (C),Group01
649806290,지질저하제 (C),Group01
650201360,지질저하제 (C),Group01
650303020,지질저하제 (C),Group01
651202710,지질저하제 (C),Group01
651300710,지질저하제 (C),Group01
651500480,지질저하제 (C),Group01
651600840,지질저하제 (C),Group01
652301150,지질저하제 (C),Group01
652603190,지질저하제 (C),Group01
652900780,지질저하제 (C),Group01
653005080,지질저하제 (C),Group01
653100600,지질저하제 (C),Group01
653402570,지질저하제 (C),Group01
653801370,지질저하제 (C),Group01
654004200,지질저하제 (C),Group01
654304570,지질저하제 (C),Group01
654701510,지질저하제 (C),Group01
655400910,지질저하제 (C),Group01
656000700,지질저하제 (C),Group01
656205050,지질저하제 (C),Group01
656701910,지질저하제 (C),Group01
657203250,지질저하제 (C),Group01
657305300,지질저하제 (C),Group01
657400970,지질저하제 (C),Group01
657502390,지질저하제 (C),Group01
657804910,지질저하제 (C),Group01
658106610,지질저하제 (C),Group01
658203160,지질저하제 (C),Group01
658501720,지질저하제 (C),Group01
658602770,지질저하제 (C),Group01
660402610,지질저하제 (C),Group01
660700860,지질저하제 (C),Group01
661604640,지질저하제 (C),Group01
661904110,지질저하제 (C),Group01
662502740,지질저하제 (C),Group01
663300860,지질저하제 (C),Group01
663605250,지질저하제 (C),Group01
664102680,지질저하제 (C),Group01
664900960,지질저하제 (C),Group01
665001250,지질저하제 (C),Group01
665501820,지질저하제 (C),Group01
669501560,지질저하제 (C),Group01
669603680,지질저하제 (C),Group01
669804170,지질저하제 (C),Group01
669905840,지질저하제 (C),Group01
670103330,지질저하제 (C),Group01
670400770,지질저하제 (C),Group01
670501420,지질저하제 (C),Group01
670606360,지질저하제 (C),Group01
671704500,지질저하제 (C),Group01
671800570,지질저하제 (C),Group01
674101390,지질저하제 (C),Group01
674400750,지질저하제 (C),Group01
678600950,지질저하제 (C),Group01
679600960,지질저하제 (C),Group01
679801360,지질저하제 (C),Group01
680500780,지질저하제 (C),Group01
684500840,지질저하제 (C),Group01
689000300,지질저하제 (C),Group01
690300910,지질저하제 (C),Group01
693200800,지질저하제 (C),Group01
693900570,지질저하제 (C),Group01
694000560,지질저하제 (C),Group01
696600920,지질저하제 (C),Group01
697101050,지질저하제 (C),Group01
698002820,지질저하제 (C),Group01
698502310,지질저하제 (C),Group01
52701090,지질저하제 (C),Group01
53600310,지질저하제 (C),Group01
54800070,지질저하제 (C),Group01
57600290,지질저하제 (C),Group01
57700130,지질저하제 (C),Group01
58200150,지질저하제 (C),Group01
59000460,지질저하제 (C),Group01
59600110,지질저하제 (C),Group01
60500760,지질저하제 (C),Group01
73001450,지질저하제 (C),Group01
73400330,지질저하제 (C),Group01
621803080,지질저하제 (C),Group01
622600510,지질저하제 (C),Group01
622802470,지질저하제 (C),Group01
623004020,지질저하제 (C),Group01
625200780,지질저하제 (C),Group01
628800300,지질저하제 (C),Group01
628900450,지질저하제 (C),Group01
629701510,지질저하제 (C),Group01
640902790,지질저하제 (C),Group01
641502840,지질저하제 (C),Group01
641602880,지질저하제 (C),Group01
641704470,지질저하제 (C),Group01
641805210,지질저하제 (C),Group01
641906140,지질저하제 (C),Group01
642004930,지질저하제 (C),Group01
642100990,지질저하제 (C),Group01
642203440,지질저하제 (C),Group01
642307200,지질저하제 (C),Group01
642500640,지질저하제 (C),Group01
642706310,지질저하제 (C),Group01
642800520,지질저하제 (C),Group01
642902850,지질저하제 (C),Group01
643104840,지질저하제 (C),Group01
643300660,지질저하제 (C),Group01
643503650,지질저하제 (C),Group01
643605350,지질저하제 (C),Group01
643703650,지질저하제 (C),Group01
644003640,지질저하제 (C),Group01
644308440,지질저하제 (C),Group01
645208430,지질저하제 (C),Group01
645906210,지질저하제 (C),Group01
646003790,지질저하제 (C),Group01
646203890,지질저하제 (C),Group01
646802530,지질저하제 (C),Group01
647204950,지질저하제 (C),Group01
647303340,지질저하제 (C),Group01
647803670,지질저하제 (C),Group01
648103260,지질저하제 (C),Group01
648201030,지질저하제 (C),Group01
648506810,지질저하제 (C),Group01
648603580,지질저하제 (C),Group01
649002150,지질저하제 (C),Group01
649102030,지질저하제 (C),Group01
649404880,지질저하제 (C),Group01
649506240,지질저하제 (C),Group01
649604950,지질저하제 (C),Group01
649701740,지질저하제 (C),Group01
649806280,지질저하제 (C),Group01
650203780,지질저하제 (C),Group01
650303010,지질저하제 (C),Group01
651204140,지질저하제 (C),Group01
651300720,지질저하제 (C),Group01
651601680,지질저하제 (C),Group01
652603240,지질저하제 (C),Group01
652903400,지질저하제 (C),Group01
653005530,지질저하제 (C),Group01
653100610,지질저하제 (C),Group01
653401650,지질저하제 (C),Group01
653801380,지질저하제 (C),Group01
654004310,지질저하제 (C),Group01
654305190,지질저하제 (C),Group01
654701670,지질저하제 (C),Group01
655403030,지질저하제 (C),Group01
